,TSUMEM,TSUM1,TSUM2
0,inf,inf,inf
1,inf,inf,inf
2,45.36655903,86.86352547,103.4556177
3,24.50735732,11.82418496,2.515208768
4,26.03581767,12.22190688,2.776045779
5,24.36093524,9.17395006,2.62873045
6,6.812186511,5.971834921,2.4856329
7,2.175914399,1.999800926,2.785358004
8,1.950793973,1.569759274,3.006922339
9,1.863858825,1.34473157,2.071037934
10,1.907688043,1.28949448,1.669432827
11,2.418812145,1.251555665,1.336022549
12,2.492093434,1.234170222,1.242561183
13,4.352034019,1.960756747,1.172024095
14,4.294143356,2.034123357,1.121012248
15,4.555414487,2.453208808,1.074040951
16,4.674118714,2.463811489,1.060852999
17,4.396115243,2.860981979,1.129962089
18,4.196226323,2.88505409,1.130084667
19,4.505033583,3.766360603,1.178873711
20,4.473422411,3.810693951,1.200298418
21,3.124235058,4.220690164,1.596991282
22,2.697267738,3.905400988,1.493294354
23,2.520030881,3.631322694,1.460817889
24,2.459957299,3.538421748,1.392954455
25,2.460467883,3.426403254,1.36206727
26,2.472891179,3.411345209,1.330382691
27,2.57033835,3.174914138,1.327549841
28,2.537971454,3.055920036,1.315106497
29,2.673196649,2.892173121,1.33206792
30,2.709148201,2.853702499,1.330841412
31,2.955337853,2.800740295,1.2592712
32,3.037268706,2.71117377,1.187295417
33,3.318374948,2.732236956,1.154039971
34,3.383291685,2.681430949,1.126702327
35,3.505868504,2.691093555,1.123330391
36,3.428744586,2.664057934,1.118095993
37,3.55398327,2.691895661,1.140333621
38,3.45808648,2.665577948,1.145388032
39,3.542530413,2.644726599,1.188115889
40,3.388565901,2.570159634,1.20100267
41,3.460036582,2.597148175,1.276455529
42,3.322831478,2.061981056,1.279808286
43,3.238945243,1.794558942,1.303873271
44,3.211917678,1.651541707,1.313108906
45,3.048762581,1.539957149,1.34260478
46,2.943646044,1.462831022,1.348091489
47,2.804986655,1.388253778,1.38356491
48,2.636103988,1.335245275,1.386897163
49,2.410199505,1.288645971,1.432795826
50,2.249719171,1.255387006,1.441306974
51,2.125627087,1.224320342,1.492330108
52,2.001921401,1.203674323,1.449293914
53,1.899217836,1.185567651,1.455121134
54,1.831536927,1.171528991,1.419689694
55,1.759556182,1.139473545,1.424764494
56,1.716254888,1.123268024,1.392627495
57,1.674420803,1.104566915,1.406260242
58,1.649506205,1.095999558,1.379839718
59,1.617820412,1.085847883,1.395587118
60,1.603394822,1.080562957,1.363866506
61,1.581542966,1.078352489,1.372557597
62,1.573073245,1.077381047,1.345168102
63,1.556648754,1.084323139,1.31355801
64,1.538887101,1.085811461,1.292520413
65,1.516420006,1.09650902,1.267663997
66,1.505889428,1.098425225,1.253310322
67,1.496109893,1.118751667,1.234504613
68,1.491391844,1.121762179,1.223096281
69,1.489295031,1.152707453,1.202197575
70,1.487661584,1.15702406,1.192907157
71,1.485033875,1.204402882,1.175272376
72,1.486357945,1.205239263,1.167020566
73,1.494897266,1.267759554,1.152313914
74,1.503902349,1.26861498,1.145803512
75,1.511990708,1.355364657,1.135165241
76,1.511171413,1.358498224,1.131416033
77,1.521412765,1.488767308,1.123679609
78,1.521658965,1.491980673,1.120224427
79,1.544049143,1.634904789,1.115256056
80,1.545635341,1.640710295,1.112585724
81,1.572137202,1.860216542,1.109372872
82,1.575285676,1.854255011,1.106896556
83,1.60791512,2.210601869,1.105126153
84,1.59412464,2.203009537,1.102406944
85,1.611945071,2.216252706,1.099095449
86,1.60134126,2.213445801,1.09663506
87,1.619951308,2.2273868,1.093913956
88,1.618629689,2.197926176,1.092729242
89,1.64796271,2.213482876,1.0904482
90,1.64481858,2.199522949,1.088091912
91,1.670968304,2.195014604,1.078810677
92,1.669019082,2.18326874,1.076733041
93,1.663842132,2.130225162,1.069060954
94,1.631857879,2.077572574,1.067990823
95,1.661792445,2.029851178,1.062251555
96,1.634300236,1.979402213,1.062010874
97,1.698013113,1.933823634,1.057916626
98,1.668449655,1.896299117,1.057651521
99,1.686490066,1.856741023,1.058417932
100,1.662310234,1.827947126,1.055838644
101,1.684954914,1.796429574,1.067875092
102,1.629195204,1.762188106,1.066950858
103,1.615496036,1.720528726,1.169998568
104,1.564867615,1.698486605,1.171716361
105,1.514854743,1.676567015,1.173897612
106,1.479378264,1.659953054,1.175674719
107,1.442652039,1.630046497,1.180060528
108,1.420741351,1.60523518,1.182296232
109,1.387382039,1.571671225,1.18830964
110,1.372516622,1.550126439,1.179401211
111,1.357005116,1.527724392,1.17247682
112,1.357297079,1.526305982,1.167184494
113,1.347076532,1.510124986,1.161223946
114,1.342727679,1.501394628,1.157163658
115,1.334948526,1.480754567,1.153464007
116,1.331711312,1.467486014,1.15085586
117,1.32678841,1.449824806,1.146367454
118,1.322053457,1.439400269,1.142253894
119,1.316786433,1.424213177,1.14098724
120,1.319461458,1.419375921,1.134956803
121,1.318636383,1.408130283,1.128331228
122,1.318539736,1.403203802,1.126455003
123,1.318502537,1.392096848,1.121984608
124,1.318756859,1.385746558,1.121602169
125,1.324390891,1.376802375,1.116355148
126,1.329644768,1.376466471,1.113856992
127,1.336240584,1.369328448,1.109911691
128,1.341771006,1.369473153,1.111528161
129,1.344322383,1.358119007,1.109626796
130,1.34294839,1.351092346,1.11062712
131,1.343635651,1.340411961,1.117956429
132,1.3437933,1.334143156,1.119134347
133,1.345928558,1.324019727,1.12707833
134,1.339770111,1.312722535,1.122581538
135,1.333838869,1.29742134,1.12491094
136,1.326477257,1.286237045,1.120954846
137,1.321258573,1.272389768,1.121865362
138,1.314806236,1.261951756,1.119774271
139,1.310543146,1.250965326,1.116485193
140,1.304790761,1.24197573,1.11552216
141,1.300214548,1.23190326,1.113533906
142,1.294424933,1.223247317,1.113447361
143,1.291869826,1.2148904,1.111969749
144,1.287671544,1.207386167,1.112128938
145,1.28721026,1.203030663,1.110645973
146,1.283766576,1.197098831,1.111762587
147,1.28511123,1.192914908,1.111136041
148,1.274418661,1.18643283,1.106305136
149,1.267563737,1.177774781,1.107307587
150,1.260505149,1.168892643,1.110892073
151,1.259732501,1.163562222,1.113355406
152,1.253171374,1.156306908,1.11540809
153,1.253329388,1.148737603,1.120124309
154,1.247933464,1.142643997,1.122021917
155,1.249370214,1.13670456,1.1271709
156,1.24459003,1.132822232,1.129356498
157,1.247411746,1.129302949,1.138727637
158,1.244020831,1.125614827,1.141174139
159,1.24703056,1.123117706,1.15479312
160,1.245915548,1.121742599,1.157667989
161,1.252112861,1.119496511,1.173236219
162,1.251783079,1.117879568,1.176260509
163,1.259112549,1.116686703,1.192455557
164,1.259100332,1.115602815,1.190795548
165,1.268292185,1.115763584,1.202645396
166,1.269129542,1.115538994,1.203336228
167,1.27705892,1.117065097,1.214968522
168,1.2758185,1.116803775,1.216137993
169,1.280177818,1.118929261,1.225343026
170,1.278935247,1.118929886,1.217976517
171,1.28081539,1.120367396,1.222920337
172,1.276196939,1.119506704,1.222312039
173,1.279790191,1.1212066,1.230797926
174,1.276515541,1.118616507,1.232660782
175,1.278815757,1.117007222,1.247038044
176,1.275917641,1.115229287,1.251513081
177,1.278968639,1.114972098,1.273098633
178,1.276427661,1.113614603,1.277953721
179,1.277070143,1.113695385,1.295014848
180,1.270228419,1.110872409,1.299562185
181,1.269249757,1.108823066,1.315396704
182,1.262414097,1.106621809,1.316506925
183,1.26068149,1.105938706,1.32408439
184,1.255825404,1.106025218,1.321062407
185,1.25802492,1.107974683,1.32777201
186,1.254794105,1.108258333,1.325070268
187,1.251118398,1.108028848,1.325423978
188,1.249036671,1.108870791,1.321152967
189,1.245310977,1.107845552,1.321978833
190,1.243779283,1.107960255,1.318202186
191,1.240873012,1.106960881,1.318928833
192,1.239660644,1.107188612,1.308975157
193,1.233372425,1.106505042,1.308204268
194,1.22873073,1.107260852,1.298332341
195,1.22435085,1.106975213,1.298487062
196,1.216960549,1.105549862,1.296352941
197,1.208925592,1.102973956,1.297838011
198,1.198673573,1.099857155,1.293257423
199,1.189620015,1.094541645,1.295294207
200,1.182253259,1.0905998,1.28543235
201,1.173986644,1.086165928,1.274658588
202,1.169814042,1.085494792,1.264351872
203,1.164493005,1.084009952,1.255347668
204,1.161975389,1.081903018,1.247699586
205,1.159018539,1.079207268,1.244456199
206,1.158291745,1.079837658,1.237531297
207,1.156728641,1.081068151,1.231958228
208,1.156092161,1.08323388,1.23117844
209,1.153625921,1.086195704,1.233196228
210,1.150574352,1.08669642,1.232758097
211,1.146667584,1.087522319,1.235008003
212,1.144145361,1.088500429,1.235118555
213,1.14118771,1.090257787,1.238285483
214,1.139866322,1.091798515,1.238104369
215,1.137201064,1.093748944,1.243404807
216,1.13599964,1.094836373,1.239040442
217,1.133626182,1.096823559,1.232664566
218,1.133294625,1.098334668,1.223226536
219,1.132082892,1.099110575,1.221551578
220,1.130181732,1.097594601,1.21742239
221,1.125469971,1.095157205,1.2118179
222,1.122146092,1.092918201,1.206948734
223,1.118081678,1.090820584,1.201805022
224,1.115813697,1.088629966,1.194953407
225,1.112591537,1.088006407,1.19074777
226,1.111122916,1.087861837,1.188420444
227,1.106806492,1.088163173,1.184122913
228,1.103187811,1.086282106,1.180586439
229,1.098607463,1.085765097,1.1767272
230,1.091619723,1.084105402,1.171660108
231,1.083041631,1.08171489,1.165491685
232,1.078646408,1.080167625,1.160847826
233,1.072796399,1.078000662,1.15544857
234,1.069634803,1.077179187,1.154669331
235,1.065057879,1.075518444,1.154854681
236,1.062689826,1.074741663,1.155132103
237,1.058816836,1.07267412,1.157565025
238,1.05684182,1.07143016,1.159146921
239,1.053181235,1.069734626,1.161690069
240,1.051411127,1.068810458,1.163563413
241,1.048665067,1.067735089,1.168490009
242,1.046118343,1.066476954,1.17009893
243,1.043417131,1.065198261,1.173691782
244,1.042154844,1.063854245,1.175895557
245,1.039804318,1.062877979,1.178676232
246,1.038662424,1.062158997,1.180191986
247,1.037336044,1.06205173,1.181484294
248,1.036187037,1.058780646,1.182551283
249,1.03429845,1.056941739,1.18197452
