day,doy,LAI,TAGP,TAGP1,TAGP_obs,LAI_nor,LAI_obs,
2021/6/12,1,0.041070968,29.30445569,,,,,
2021/6/13,2,0.041070968,29.30445569,,,,,
2021/6/14,3,0.041070968,29.30445569,,,,,
2021/6/15,4,0.041070968,29.30445569,,,,,
2021/6/16,5,0.041070968,29.30445569,,,,,
2021/6/17,6,0.041070968,29.30445569,,,,,
2021/6/18,7,0.041070968,29.30445569,,,,,
2021/6/19,8,0.041070968,29.30445569,,,,,
2021/6/20,9,0.041070968,29.30445569,,,,,
2021/6/21,10,0.041070968,29.30445569,,,,,
2021/6/22,11,0.046423966,33.12386163,,,,,
2021/6/23,12,0.052641452,37.53445393,,,,,
2021/6/24,13,0.056944756,40.57096057,,,,,
2021/6/25,14,0.061685189,43.89926807,,,,,
2021/6/26,15,0.067375383,47.87654108,,,,,
2021/6/27,16,0.07326335,51.97543957,,,,,
2021/6/28,17,0.082935736,58.68403461,,,,,
2021/6/29,18,0.094583848,66.73299144,,,,,
2021/6/30,19,0.106291864,74.79673348,,,,,
2021/7/1,20,0.121097221,84.96176663,,,,,
2021/7/2,21,0.135472833,94.80458486,,,,,
2021/7/3,22,0.148999612,104.0469187,,,,,
2021/7/4,23,0.169396017,117.960229,,,,,
2021/7/5,24,0.194549119,135.0945696,,,,,
2021/7/6,25,0.222986601,154.4424911,,,,,
2021/7/7,26,0.253569608,175.2301105,,,,,
2021/7/8,27,0.296631796,204.4803159,194,158.1218907,0.015873449,0.182052001,0.182052001
2021/7/9,28,0.344418643,236.9293525,,,,,
2021/7/10,29,0.398954983,273.9626227,,,,,
2021/7/11,30,0.435252313,298.6207519,,,,,
2021/7/12,31,0.504633208,345.7900095,,,,,
2021/7/13,32,0.582574143,400.1186956,,,,,
2021/7/14,33,0.669994396,463.4420563,,,,,
2021/7/15,34,0.7591686,530.7161916,,,,,
2021/7/16,35,0.814398844,574.1507971,,,,,
2021/7/17,36,0.886861876,633.5370533,,,,,
2021/7/18,37,0.988402189,720.2744616,708,584.2607386,0.233758877,1.428299999,1.428299999
2021/7/19,38,1.091773925,812.5812205,,,,,
