day,1,2,3,4,5,6,7,8,9,10,11,12,,
2022/7/5,0.1606,0.1374,0.1988,0.1831,0.1862,0.162,0.1632,0.1885,0.09126,0.1508,0.1819,0.2247,,5.811
2022/7/17,0.6873,1.17,1.937,1.818,0.527,1.046,1.487,1.266,0.4901,0.8347,1.401,1.068,,0.09126
2022/7/20,0.7312,0.8904,1.677,1.239,0.5863,1.326,1.663,1.387,0.9686,1.256,2.082,2.46,,
2022/7/28,2.145,3.41,3.867,3.884,2.135,2.799,2.879,2.822,1.742,2.97,3.557,3.718,,
2022/8/6,3.935,3.847,4.096,3.748,2.674,3.012,3.165,3.265,3.205,3.856,3.639,3.962,,
2022/8/15,3.55,4.255,4.487,3.611,5.811,3.172,3.52,3.39,2.364,4.227,3.597,4.601,,
2022/8/31,2.997,3.751,4.121,4.051,3.54,3.752,3.6,3.283,4.06,3.932,4.172,4.429,,
2022/9/11,2.785,3.655,4.573,4.735,2.832,3.012,3.22,3.094,4.061,3.597,3.548,4.736,,
2022/9/17,2.783,3.334,3.998,3.542,3.04,3,2.785,2.619,2.912,3.762,3.551,3.428,,
2022/9/28,2.641,2.594,2.401,3.465,2.487,1.725,2.015,3.189,2.441,2.097,2.514,3.159,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
day,,,,,,,,,,,,,,
2022/7/5,0.012122929,0.0080668,0.018801554,0.016056674,0.016598657,0.012367695,0.012577495,0.017000773,0,0.010409564,0.015846874,0.023329732,,
2022/7/17,0.104207534,0.188599482,0.322696486,0.301891345,0.076181784,0.166920175,0.244021581,0.205383461,0.069730442,0.129977936,0.228985933,0.170766503,,
2022/7/20,0.111882708,0.139716141,0.277239875,0.200662967,0.086549389,0.215873449,0.274792211,0.226538269,0.153388091,0.20363513,0.348047289,0.414134209,,
2022/7/28,0.359061776,0.580225675,0.660124411,0.663096574,0.357313444,0.473402637,0.487389287,0.477423799,0.288604027,0.503299101,0.605926143,0.634074276,,
2022/8/6,0.672013064,0.656627749,0.700161196,0.63931927,0.451548497,0.510642092,0.53739156,0.554874872,0.544384885,0.658201247,0.620262459,0.676733558,,
2022/8/15,0.604702312,0.727959663,0.768520947,0.615367132,1,0.538615392,0.599457318,0.576729012,0.397350229,0.723064335,0.612919468,0.788451923,,
2022/8/31,0.508019595,0.639843769,0.704532024,0.692293706,0.60295398,0.640018602,0.613443968,0.558021868,0.693867204,0.671488564,0.713448513,0.758380626,,
2022/9/11,0.470954973,0.623059789,0.783556595,0.811879561,0.47917213,0.510642092,0.547007381,0.524978408,0.694042037,0.612919468,0.604352645,0.812054394,,
2022/9/17,0.470605307,0.566938357,0.68302755,0.603303647,0.51553742,0.508544095,0.470954973,0.441932675,0.49315878,0.641766933,0.604877145,0.583372671,,
2022/9/28,0.445779004,0.437561847,0.403819055,0.589841496,0.418854703,0.285631864,0.33633347,0.541587555,0.41081238,0.350669786,0.423575197,0.536342561,,
