day,doy,LAI,LAI_obs,TAGP,TAGP_obs,TAGP1,LAI1,LAI_ori
2022/6/11,1,0.041548612,,29.4774961,,,,
2022/6/12,2,0.041548612,,29.4774961,,,,
2022/6/13,3,0.041548612,,29.4774961,,,,
2022/6/14,4,0.041548612,,29.4774961,,,,
2022/6/15,5,0.041548612,,29.4774961,,,,
2022/6/16,6,0.041548612,,29.4774961,,,,
2022/6/17,7,0.041548612,,29.4774961,,,,
2022/6/18,8,0.041548612,,29.4774961,,,,
2022/6/19,9,0.041548612,,29.4774961,,,,
2022/6/20,10,0.046626188,,33.07988416,,,,
2022/6/21,11,0.050826495,,36.0417677,,,,
2022/6/22,12,0.056230603,,39.83129017,,,,
2022/6/23,13,0.061856759,,43.75579116,,,,
2022/6/24,14,0.070893673,,50.03085953,,,,
2022/6/25,15,0.081400039,,57.29433913,,,,
2022/6/26,16,0.093160853,,65.39274295,,,,
2022/6/27,17,0.100984442,,70.76025963,,,,
2022/6/28,18,0.116504883,,81.37463996,,,,
2022/6/29,19,0.134962799,,93.96294808,,,,
2022/6/30,20,0.156357521,,108.5182512,,,,
2022/7/1,21,0.181625299,,125.6719271,,,,
2022/7/2,22,0.210059957,,144.9427651,,,,
2022/7/3,23,0.235038905,,161.8490636,,,,
2022/7/4,24,0.274489561,,188.5245289,,,,
2022/7/5,25,0.318649261,0.1988,218.3666642,441.9,441.9,0.018801554,0.1988
2022/7/6,26,0.365884362,,250.2801854,,,,
2022/7/7,27,0.426428998,,291.1931493,,,,
2022/7/8,28,0.496629557,,338.6577457,,,,
2022/7/9,29,0.573368249,,390.591074,,,,
2022/7/10,30,0.657544633,,449.6422738,,,,
2022/7/11,31,0.733157328,,504.8580766,,,,
2022/7/12,32,0.790678872,,548.6214958,,,,
2022/7/13,33,0.849969776,,595.6629493,,,,
2022/7/14,34,0.912610204,,647.3241971,,,,
2022/7/15,35,0.975630278,,701.260285,,,,
2022/7/16,36,1.03597596,,755.0624152,,,,
2022/7/17,37,1.098758029,1.677000003,813.4781384,,,0.277239875,1.677000003
2022/7/18,38,1.182955092,,895.085932,,,,
2022/7/19,39,1.255511652,,968.7358898,,,,
2022/7/20,40,1.320873219,1.936999999,1038.235528,1633.2,1633.2,0.322696486,1.936999999
2022/7/21,41,1.444490728,,1175.051173,,,,
2022/7/22,42,1.558500667,,1306.447443,,,,
2022/7/23,43,1.650983478,,1418.058452,,,,
2022/7/24,44,1.776074257,,1575.586676,,,,
2022/7/25,45,1.898538218,,1737.050576,,,,
2022/7/26,46,2.014787592,,1898.082083,,,,
2022/7/27,47,2.109814093,,2037.241873,,,,
2022/7/28,48,2.204207298,2.91645,2183.69934,3518.2,5518.2,0.607674475,3.567000002
2022/7/29,49,2.313237107,,2362.597614,,,,
2022/7/30,50,2.417090997,,2543.290013,,,,
2022/7/31,51,2.487548549,,2673.56567,,,,
2022/8/1,52,2.561165738,,2818.712349,,,,
2022/8/2,53,2.632548314,,2969.376268,,,,
2022/8/3,54,2.710513501,,3146.15858,,,,
2022/8/4,55,2.780888351,,3318.324634,,,,
2022/8/5,56,2.847429184,,3494.919443,,,,
2022/8/6,57,2.907735074,3.212,3668.519292,4729,9729,0.700161196,4.095999999
2022/8/7,58,2.963672703,,3841.281549,,,,
2022/8/8,59,3.014044126,,4009.010358,,,,
2022/8/9,60,3.058254807,,4168.628982,,,,
2022/8/10,61,3.096394218,,4318.919829,,,,
2022/8/11,62,3.126664294,,4450.131885,,,,
2022/8/12,63,3.164002669,,4619.15132,,,,
2022/8/13,64,3.202002548,,4791.671139,,,,
2022/8/14,65,3.23839916,,4957.402727,,,,
2022/8/15,66,3.272011126,3.367,5110.91025,5834,,0.768520947,4.487000001
2022/8/16,67,3.300172402,,5243.019645,,,,
2022/8/17,68,3.335850049,,5417.933883,,,,
2022/8/18,69,3.372370114,,5605.121428,,,,
2022/8/19,70,3.401796281,,5757.778103,,,,
2022/8/20,71,3.394372261,,5951.178567,,,,
2022/8/21,72,3.434580978,,6200.665511,,,,
2022/8/22,73,3.465359929,,6446.648542,,,,
2022/8/23,74,3.476023725,,6585.992811,,,,
2022/8/24,75,3.472275975,,6705.130651,,,,
2022/8/25,76,3.46623488,,6870.667071,,,,
2022/8/26,77,3.46623488,,7080.579854,,,,
2022/8/27,78,3.455728514,,7295.397845,,,,
2022/8/28,79,3.443967699,,7531.84691,,,,
2022/8/29,80,3.443967699,,7773.787123,,,,
2022/8/30,81,3.443967699,,8009.907816,,,,
2022/8/31,82,3.436144111,3.6,8233.242539,7773,17430,0.704532024,4.120999999
2022/9/1,83,3.436144111,,8657.84775,,,,
2022/9/2,84,3.42062367,,9103.142199,,,,
2022/9/3,85,3.402165754,,9465.261344,,,,
2022/9/4,86,3.402165754,,9658.760933,,,,
2022/9/5,87,3.380771032,,9933.148432,,,,
2022/9/6,88,3.380771032,,10395.71838,,,,
2022/9/7,89,3.355503254,,10848.74544,,,,
2022/9/8,90,3.327068595,,11278.93419,,,,
2022/9/9,91,3.302089648,,11424.66324,,,,
2022/9/10,92,3.284528304,,11857.64562,,,,
2022/9/11,93,3.262638991,,12132.44254,,,,
2022/9/12,94,3.245515711,,12330.06756,,,,
2022/9/13,95,3.218479291,3.034,12599.8672,10962.8,20962.8,,
2022/9/14,96,3.17124419,,12929.31117,,,,
2022/9/15,97,3.122588901,,13064.89969,,,,
2022/9/16,98,3.061886024,,13190.55292,,,,
