day,LAI,TAGP,TAGP_ML,LAI_ML
2021/6/1,,,,
2021/6/2,,,,
2021/6/3,,,,
2021/6/4,,,,
2021/6/5,,,,
2021/6/6,,,,
2021/6/7,,,,
2021/6/8,,,,
2021/6/9,,,,
2021/6/10,,,,
2021/6/11,,,,
2021/6/12,0.062006763,40.4399563,,
2021/6/13,0.062006763,40.4399563,,
2021/6/14,0.062006763,40.4399563,,
2021/6/15,0.062006763,40.4399563,,
2021/6/16,0.062006763,40.4399563,,
2021/6/17,0.062006763,40.4399563,,
2021/6/18,0.062006763,40.4399563,,
2021/6/19,0.062006763,40.4399563,,
2021/6/20,0.062006763,40.4399563,,
2021/6/21,0.062006763,40.4399563,,
2021/6/22,0.077097538,50.2819517,,
2021/6/23,0.095585447,62.58866834,,
2021/6/24,0.108901248,71.63421247,,
2021/6/25,0.123647393,81.86036551,,
2021/6/26,0.141501874,94.49459823,,
2021/6/27,0.160048128,107.8816308,,
2021/6/28,0.191298683,130.8911918,,
2021/6/29,0.22926187,159.4679749,,
2021/6/30,0.268152501,189.3927577,,
2021/7/1,0.316901822,227.805902,,
2021/7/2,0.363142789,265.1345567,,
2021/7/3,0.405003366,299.6586046,,
2021/7/4,0.467484604,352.2146151,,
2021/7/5,0.542924101,416.9436637,,
2021/7/6,0.625681998,489.5235948,,
2021/7/7,0.711758847,566.7724652,,
2021/7/8,0.824838584,670.7711115,534,0.183090081
2021/7/9,0.944055603,783.1404709,,
2021/7/10,1.07154856,906.4543071,,
2021/7/11,1.149484771,983.8852132,,
2021/7/12,1.291117901,1128.346447,,
2021/7/13,1.440881817,1286.347371,,
2021/7/14,1.599011549,1459.727132,,
2021/7/15,1.753983311,1636.714181,,
2021/7/16,1.842195233,1741.744516,,
2021/7/17,1.957523063,1884.858026,,
2021/7/18,2.114982728,2088.545105,1864,1.066126596
2021/7/19,2.268543674,2296.223677,,
2021/7/20,2.399330775,2480.779423,,
2021/7/21,2.490120933,2614.516205,,
2021/7/22,2.590252687,2768.490155,,
2021/7/23,2.674037051,2903.028387,,
2021/7/24,2.752426395,3034.922113,,
2021/7/25,2.848545759,3204.123407,,
2021/7/26,2.975698155,3438.586519,,
2021/7/27,3.042540057,3568.292292,,
2021/7/28,3.10790314,3701.724709,,
2021/7/29,3.190758426,3879.60576,3876.766852,2.930683098
2021/7/30,3.307936062,4145.03036,,
2021/7/31,3.421235355,4416.929966,,
2021/8/1,3.524927457,4681.152519,,
2021/8/2,3.619386144,4937.9894,,
2021/8/3,3.711105659,5204.893662,,
2021/8/4,3.789480031,5449.412023,,
2021/8/5,3.847858011,5645.068524,,
2021/8/6,3.892179532,5805.036555,6502.43497,3.466717678
2021/8/7,3.962488941,6078.990185,,
2021/8/8,4.025275744,6343.310598,,
2021/8/9,4.052378052,6465.179897,,
2021/8/10,4.112290363,6750.8569,,
2021/8/11,4.138455191,6883.962766,,
2021/8/12,4.167538179,7042.588501,,
2021/8/13,4.188287944,7164.687198,,
2021/8/14,4.217161458,7347.774968,,
2021/8/15,4.245808019,7538.092911,8943.742616,3.59150589
2021/8/16,4.283857962,7790.226865,,
2021/8/17,4.302037512,7910.373822,,
2021/8/18,4.319753278,8027.157198,,
2021/8/19,4.337477393,8143.681021,,
2021/8/20,4.364158714,8323.220274,,
2021/8/21,4.406760852,8620.170596,,
2021/8/22,4.441589935,8872.118607,,
2021/8/23,4.458199463,8993.804997,,
2021/8/24,4.500705634,9326.436767,,
2021/8/25,4.545239311,9701.277969,,
2021/8/26,4.568141012,9909.773779,,
2021/8/27,4.522417337,10080.70672,12771.80254,3.795133376
2021/8/28,4.54269549,10599.66694,,
2021/8/29,4.539909963,10970.84489,,
2021/8/30,4.545151727,11308.03365,,
2021/8/31,4.531835925,11582.53207,,
2021/9/1,4.51708978,11857.23786,,
2021/9/2,4.4992353,12119.32791,,
2021/9/3,4.4992353,12363.23645,,
2021/9/4,4.480689046,12610.59996,,
2021/9/5,4.449438491,13216.02854,,
2021/9/6,4.449438491,13465.13794,,
2021/9/7,4.411475303,13698.93444,15560.43145,3.414242346
2021/9/8,4.372584673,14381.76685,,
2021/9/9,4.349174153,15024.85777,,
2021/9/10,4.308702045,15609.23526,,
2021/9/11,4.249622983,16160.60295,,
2021/9/12,4.171435335,16667.43532,,
2021/9/13,4.079389021,17107.86873,,
2021/9/14,3.976099444,17542.84351,,
2021/9/15,3.863971755,17922.9477,,
2021/9/16,3.74488535,18090.63067,,
2021/9/17,3.620674204,18184.62781,,
2021/9/18,3.49290707,18274.90272,,
2021/9/19,3.363696921,18355.74,,
2021/9/20,3.233370107,18508.96518,19208,2.637014532
2021/9/21,3.102936738,18686.76545,,
2021/9/22,2.973196631,18841.29306,,
2021/9/23,2.844924769,18942.88847,,
2021/9/24,2.719692355,19035.71529,,
2021/9/25,2.597495595,19061.9263,,
2021/9/26,2.478061174,19082.70881,,
2021/9/27,2.361730486,19146.50822,,
2021/9/28,2.249073402,19161.4189,,
2021/9/29,2.140468659,19211.14577,,
2021/9/30,2.036161784,19239.62122,,
2021/10/1,1.936320691,19261.29739,,
