0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,1.24142717,0.002138135,0.001223309,47.84466486,0.627435453,0.630657175,0.665299077,0.484525723,61.80886378,0.650865187,0.325031797,0.579122891,0.708213559,59.18911642,0.038908184,0.034505918,0.005933305
2,1.137138119,0.001389339,0.001434782,30.92466248,0.54813968,0.860316332,0.639070062,0.620718229,78.2776983,0.571582631,0.647127043,0.769034989,1.148336284,81.1533857,0.089477115,0.06044639,0.006671805
3,0.943340663,0.002417462,0.001105261,37.94120218,0.673731856,0.898316888,0.777108241,0.636790931,62.11202038,0.360585447,0.334564478,0.418558606,0.859716799,46.93450652,0.039847621,0.069860935,0.005570912
4,1.439035458,0.003346703,0.000560541,25.16603186,0.311692568,0.685414861,0.821303838,0.653887655,75.75289406,0.3439006,0.723312723,0.545483438,0.972255401,49.26935659,0.013368662,0.084390531,0.005859968
5,1.277706999,0.002832848,0.00136359,30.70027125,0.646006508,0.692271561,0.812240642,0.623184145,70.75352432,0.682595426,0.311730589,0.410513974,1.340189536,35.42267506,0.019918379,0.072910678,0.002003402
6,1.480689521,0.002554726,0.000706246,27.20493691,0.231766103,0.842165682,0.528020289,0.554124502,31.20533579,0.479992596,0.253814313,0.748094218,1.399692273,78.24396325,0.066072358,0.085305428,0.003572568
7,1.280389138,0.001850163,0.001325074,26.73599953,0.646114713,0.944076958,0.826995719,0.764067048,41.79721799,0.369933546,0.366390316,0.445972032,1.289628154,80.67163777,0.081926699,0.051579103,0.003788487
8,1.377792477,0.001443457,0.000678347,37.18793813,0.437431426,1.114549417,0.706316327,0.487246541,47.4317551,0.743143381,0.503178704,0.409762249,1.168516274,40.5219787,0.039503605,0.079054251,0.002188631
9,1.186855702,0.00241423,0.000930057,45.80386844,0.437891985,0.864278057,0.604815245,0.480705238,48.31548592,0.48119898,0.349861976,0.440113759,0.561963569,88.27894314,0.08758626,0.066076289,0.00442228
10,1.355350556,0.003384516,0.000646778,26.4010587,0.609025228,1.013586092,0.626346901,0.519511534,26.16665047,0.609624811,0.700266316,0.867752668,1.458850847,55.602143,0.01236846,0.05568641,0.005056627
