0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,1.395037358,0.003538088,0.000789149,21.4553051,0.245564402,0.512536322,0.510822702,0.77129786,72.75426848,0.939773095,0.38406086,0.648914889,0.501621322,44.2817727,0.019842651,0.046954543,0.007609819
2,0.936822061,0.00366437,0.001280159,38.76805887,0.444664746,1.079011184,0.81374717,0.584966473,61.7676268,0.564028652,0.663142665,0.724578279,1.187116127,49.55805519,0.043116664,0.065233445,0.003705082
3,1.366912541,0.002664635,0.001383107,19.28161545,0.512492819,0.984779536,0.711060263,0.706470818,57.2258231,0.535774302,0.386087066,0.328400407,1.031028978,66.47205852,0.035653436,0.078167176,0.005041723
4,1.329896971,0.002571296,0.001445117,23.60813999,0.2587901,0.670209564,0.896254927,0.719802378,40.42014234,0.791905161,0.58081231,0.381661356,0.865277622,69.72811863,0.070410177,0.081138589,0.006135643
5,1.362810345,0.001420039,0.001443322,39.01912315,0.372582898,0.549678503,0.712407725,0.471484667,51.76270303,0.69377743,0.738340483,0.873650155,1.024242857,73.6207576,0.028366572,0.069568424,0.003667225
6,1.367479888,0.001804103,0.000785257,17.8152353,0.327731859,1.055699047,0.55003542,0.677232244,54.36641573,0.908777949,0.740460558,0.72186873,1.04195809,40.74368624,0.011181871,0.03860087,0.0044643
7,0.982105641,0.00322917,0.000615058,38.49529393,0.315642911,0.849503157,0.718187955,0.741129256,74.16947075,0.655332647,0.524998001,0.362382611,0.729027902,76.56915283,0.03257307,0.063109285,0.005123007
8,1.045913251,0.00268919,0.001172464,43.37638511,0.449940656,0.729343907,0.578984392,0.628331084,67.04316567,0.615059348,0.69717015,0.774330876,1.046375885,62.92042279,0.022594376,0.079728384,0.002999831
9,0.934579089,0.003451517,0.001396494,41.6288022,0.308980519,0.604953544,0.832250204,0.70710416,59.49276631,0.580543844,0.728684763,0.870100255,1.033620618,43.92983387,0.061604648,0.033255229,0.007212731
10,1.047755181,0.001486707,0.001300734,47.97767525,0.562300858,0.795754881,0.558314153,0.688677194,76.9372073,0.629676083,0.610419619,0.520880861,0.739898204,44.05518759,0.042501948,0.011812883,0.003926187
