0,rmse,NAVAILI,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,0.15123912013900787,0.10953535850547058,0.04750169933178648,0.10775795032441998,0.07054283057287798,0.10715303388814398,0.09340537686977901,0.05273850451789459,0.11198323925687734,0.10138086290787793,0.08238744872526953,0.0689244339821852,0.05212499041472814,0.06725390475839826,0.09066194809409461,0.11081700111349244,0.1408883664666121,0.08762570362547115
2,0.14851989119528122,0.10995711920045756,0.04703817122000779,0.11090711450040158,0.09852004650265934,0.13820524931092779,0.09683142451831825,0.13398562071866685,0.10969989356383128,0.07433661954057344,0.09710504468970396,0.0693081957779124,0.07836797304813747,0.042406849461527764,0.09782865593436682,0.08324685314797578,0.1303513607144255,0.12209411508808851
3,0.1593230689576376,0.08311778632953522,0.12497252004375173,0.060242380899320075,0.06527099490298584,0.06612649322183592,0.1073942245787533,0.12240286921809354,0.14222963870104038,0.044099228631029906,0.0557729831445859,0.13714732464502227,0.0850164935535082,0.1139537690249352,0.07413669702097124,0.0719424114420871,0.05187263476568488,0.0642172587722469
4,0.15400475344387507,0.046561169443289994,0.08675166348495388,0.08474361764527266,0.06477449743037636,0.06061685969749515,0.12407593135082817,0.09123337614287022,0.1310523990134245,0.10177513997012652,0.0806277016905887,0.04906225943596039,0.09358201250455922,0.042032005344768246,0.0735873338257147,0.1440130739940664,0.0825690307450076,0.1015265154225416
5,0.15493711012268188,0.12857687540123666,0.1272543125959538,0.07319747401773613,0.04456893921363282,0.10327799150726802,0.06412520061694783,0.04789916269959267,0.11724772282965681,0.14460974731136342,0.12479981744856625,0.09134270702167463,0.07117887821234314,0.04695891567494998,0.1044995725887492,0.1414192925182297,0.07755853532172619,0.13452529221680437
6,0.1462390991731084,0.10376327088886708,0.06050142653805446,0.11766337232791504,0.10840642893588742,0.06947018710953837,0.08504841514941064,0.10320650501853423,0.07617826894614682,0.042423005239076134,0.0591759872506384,0.062421440475223466,0.09807184874642266,0.09729494070323892,0.10666953570525706,0.042781871305855514,0.06124221272874303,0.05123032038116162
7,0.1493960783353802,0.1290205038107845,0.11627878964788271,0.14947122253958262,0.048882368927466335,0.11766868563393365,0.04050725493356051,0.14316812773041523,0.080154139213668,0.12615449521281233,0.10845931438131726,0.11871343225565822,0.1046266924976624,0.0716512403474007,0.11677577958566562,0.1115808972332156,0.11527282020846044,0.11436295629403367
8,0.1411355712056047,0.0654969915275492,0.05395329405562468,0.05520700961184626,0.143791385137509,0.041674288217088705,0.07754573737259754,0.06879808405414585,0.051185138349068626,0.07300550857031529,0.05353837438777874,0.12518545086187727,0.10952270547926737,0.07798624627215683,0.05891945128296322,0.048795488136911494,0.11425716698773203,0.1005816699276959
9,0.15318500475463348,0.10232902208301246,0.07545012062230191,0.0697882757822049,0.07814421719434117,0.05905414330796671,0.10567970084116385,0.06360598247156249,0.1222793679827486,0.07903192765074689,0.09536360665932045,0.146809274984254,0.103710867889861,0.06190350323140538,0.08764444097700907,0.0998629044285897,0.06669145722654257,0.0657898687298734
10,0.15773498273847011,0.14488702606293333,0.1470482646276355,0.06911453622115057,0.04433325768610231,0.05948896032824412,0.04397351179810575,0.08806346423943948,0.0884864240833649,0.052303687470006056,0.08228917906076261,0.09814764550510725,0.09008980928089343,0.10881070638126972,0.07935873746306099,0.13761656198734717,0.05182883703630271,0.06275479450029672
11,0.14324453485361527,0.05529441066954045,0.09309547252238431,0.10648573469413478,0.0933745889882743,0.07084415694304531,0.04402648055507504,0.05163048792036026,0.048236563726517516,0.13423529203622,0.09334136804760299,0.09776453607535546,0.10504688124365857,0.04011863873989763,0.05084618164750797,0.11313780739921633,0.1310837392097875,0.12959592818473606
12,0.1508997244992016,0.13597773587523038,0.05206464182881229,0.10499596343320047,0.04462231912518093,0.10621923734687852,0.13995002148804705,0.04699341547201511,0.11152273325373618,0.14595168081621018,0.05587914625231878,0.119337504540932,0.09679007826651731,0.042047992324780466,0.13921695897965874,0.059372836925261886,0.0955150971480579,0.0684250536131549
13,0.14850534207988186,0.1311826515905642,0.07715313451381686,0.06398038047201093,0.11445208475997323,0.11610948289430781,0.08187219969630831,0.11224713214056153,0.12344166264993012,0.061083928850082174,0.08038346636368494,0.1432012211550681,0.12054920245330292,0.11037999699132556,0.1320100142376823,0.10955111406685789,0.14958271408893953,0.06334025486254778
14,0.14092144433205156,0.10404248255831705,0.07800579730958615,0.12284578336801891,0.14683211491650675,0.1411551459483922,0.09837893722457994,0.06497590917176217,0.08000564544859567,0.11551747102369161,0.07923176170854637,0.04773775734402865,0.06339493693982526,0.10139513326192998,0.08294325907422062,0.12794191910423824,0.0874933097437963,0.08580279417760744
15,0.14957515981738956,0.08507668408484885,0.08064353438701649,0.045431126698093766,0.14716926526775037,0.05618035970587308,0.09810111203686231,0.14033789640917096,0.13782650193273902,0.0954968407345895,0.06318414330977905,0.0805963161937544,0.054720206080899184,0.1266746713860381,0.07135767928588906,0.10172007685272993,0.09304132917485501,0.054287722078895345
16,0.15145071710035596,0.1328481005128003,0.07955416331630821,0.13594902179859555,0.07193666037431859,0.13699476359149643,0.10052740196261833,0.11403191845139335,0.12158826699465297,0.08839368686305553,0.0868455115322754,0.07729678836419573,0.06630978830871559,0.06876042825280859,0.06893976022890519,0.11410397129218788,0.07415077313144938,0.08869528019920186
17,0.14648299702641338,0.10116630841126881,0.09637829350837092,0.07703599962228527,0.12130033075092986,0.05944436389050217,0.09966821808526932,0.044712261078743834,0.09006733440151976,0.1283322156885937,0.04189089528855683,0.07504302344389432,0.061951829212141984,0.12271557687468326,0.0635453830212755,0.08070394069809586,0.1009621336077336,0.115798804767592
18,0.1498304985429601,0.1224012729640627,0.0694636740097063,0.12018591703053094,0.07660542475077138,0.07889018325077884,0.06968698473266043,0.1165042165947435,0.10298419790120533,0.05419527505430402,0.13922921443075065,0.06486619269584865,0.06476531373565315,0.07006135478307618,0.1193471797213182,0.11489670959863083,0.04092891948219118,0.05560886773953101
19,0.14741452000969588,0.042863011639764095,0.12659489496222637,0.11818476837039207,0.12342026728762398,0.1078049560888352,0.05216936865555455,0.11243659541894258,0.08287735647192988,0.056062676482785595,0.09918077043077582,0.08962305673078838,0.1077670501845504,0.04953507815380766,0.055294752161843146,0.10346859779552303,0.044430224843279825,0.05619980626308239
20,0.16207212086244,0.14348221929206342,0.13801290328133572,0.11006460368429169,0.05856162917386225,0.06550866677181669,0.10667695648085251,0.07870071486942185,0.14738056539099345,0.06794805829354383,0.13505923209159965,0.061737516752688404,0.06544062405713413,0.14034548041253989,0.0651257287376504,0.12564346859836592,0.10138707750564699,0.07420714863780126
21,0.1423423738053202,0.07336847383526983,0.10392046912992312,0.043458483068358846,0.14655520275424033,0.1466561816940258,0.12443121573432878,0.06731087344714642,0.0616586066546638,0.1136804352592565,0.0413482480260728,0.12690836462478103,0.14234318460807402,0.08412315032871809,0.04224532114305908,0.04272387695685826,0.11628510420297974,0.10095455933566119
22,0.13931310804705355,0.065220230854464,0.06518784347484298,0.1403948889190913,0.13445165517087018,0.04026902109251498,0.0692288442575983,0.07165574991767674,0.04062678062987065,0.11358392138766531,0.0655168467025663,0.044874181034694254,0.12995877699870098,0.08703800144516559,0.0426022794117506,0.059059449244111294,0.11564593297489842,0.14468919534055608
23,0.13974222408457454,0.08922443996579368,0.06502055260185839,0.13806242980300715,0.1358461378695539,0.08685030137958281,0.05737380654435677,0.07679955017826856,0.0674147246771795,0.11467562591666317,0.06741073431000053,0.04056846526032592,0.04144138934328087,0.09673699769072452,0.08548738394082125,0.12877262671531697,0.12709978732569963,0.07974722837586123
24,0.14065548249891602,0.08748052458772165,0.06725341779450246,0.14613360930191738,0.13295382178722145,0.04233181525443181,0.0589636177529221,0.07840867296205584,0.05926774526258091,0.11297499526572198,0.07009870894926513,0.04461051309137408,0.14991550871393816,0.08641935930753292,0.04125296756141858,0.06219670172555401,0.12639338048180604,0.14608216686444386
25,0.13826489755154664,0.06839610469999773,0.05990084731531933,0.13484879603613995,0.13500348907792595,0.08652111240514483,0.05602038409115177,0.07971152896937984,0.0419194528821703,0.12131515933656328,0.07108262604109994,0.05577909782535137,0.04078531162867469,0.08583968022575644,0.045790408923396586,0.08639939761065243,0.1429791735414499,0.14584929195413024
26,0.13919249122698552,0.06410489372976247,0.04037692353197838,0.13199955629329668,0.1319232356959652,0.04854881720597015,0.06938578705648477,0.09890154011927176,0.04006146652919479,0.13733080802356787,0.11189889769808885,0.052953458803830386,0.13088323648094616,0.056757837454132265,0.04460843887220033,0.08779742540260511,0.14631169124406063,0.1492235628016863
27,0.1426002149053082,0.05463865335538872,0.04251958786868098,0.12896286706582433,0.10011995526225642,0.09188848918240819,0.050497369157196666,0.10173925099540572,0.05089364653489849,0.13718351815184626,0.11693574458562676,0.05498600857934726,0.133371351064476,0.05554021277858406,0.0503751225505734,0.08897513846304715,0.1496202434890873,0.04040700613356615
28,0.1422339739377707,0.07735139631663132,0.04186391918861183,0.09432769140388475,0.08739235194915654,0.047822276810100366,0.07371770667213202,0.09953425892414353,0.040209544352533905,0.14999024402314035,0.11063031473387619,0.05590366961677635,0.12645797137455064,0.05742272770296926,0.1498288506261305,0.07102926775923202,0.1395037802732835,0.13851022698417248
29,0.1422252865800473,0.06690875099706105,0.056097092056582865,0.1300240891394846,0.12540722635898588,0.0800527338858801,0.08549637561950954,0.08437582515491239,0.06797971999741374,0.12465637264473355,0.12882709800769554,0.08275869444237618,0.04580105845248209,0.0801901335372727,0.04006740054255014,0.09147156686057487,0.1427533440640957,0.1484210787533401
30,0.14213347091992506,0.054528048377214935,0.0430728676553674,0.09684267982923897,0.10816913204337607,0.04845383402975173,0.06144358287661027,0.09783077084855996,0.04054392840103363,0.1037577673657509,0.10569770682467823,0.10775276674590806,0.11510294711271817,0.061178626759915374,0.04923635080524973,0.07562622020834692,0.13597646581286116,0.12666441372852102
31,0.14218695598063008,0.04953925347478835,0.04809445062874543,0.14937706441805831,0.13943140559844025,0.12987591699257486,0.0520568090459751,0.10619242966559658,0.09788188265118185,0.13768932638223103,0.1472022047504135,0.07170251815440995,0.14007287904820578,0.14498586658609844,0.09625127502297628,0.08587926295701194,0.14631581883823686,0.11230041985045228
32,0.14412209779104246,0.11497437710434229,0.10808732223112313,0.12864281420061416,0.12754372517623402,0.07664638585592665,0.08634313435649371,0.12888170971986682,0.047344843311951615,0.12236542749693889,0.11702703263381488,0.05762991571923614,0.07776527945293718,0.09122424692838818,0.06063783520159671,0.06710144490666159,0.12069568429885326,0.1395092363810102
33,0.142396853932363,0.07601030474886337,0.0406256973450272,0.09252863800083949,0.11582599065195152,0.09245657343080708,0.06695483871797396,0.09319654549250665,0.055653773136403385,0.10610557351096542,0.07252171105330234,0.06852964598572626,0.1493079380717624,0.0747857543479399,0.0489742872950148,0.09486556781049786,0.10870144248003091,0.12455066236195697
34,0.14416722082210542,0.04110996432328581,0.05730306419492889,0.10038016700239562,0.10553237035076479,0.09887205140815059,0.07984020973129836,0.05668960351766141,0.06623470141593997,0.08884111881641239,0.04957408590844924,0.04099273664265169,0.08528755199419197,0.04872575159660165,0.07750157259975352,0.07916611531885116,0.135014413844324,0.14919206114681208
35,0.14460107998888477,0.05971677463661058,0.04868663742840608,0.14212068620493218,0.1160550494626815,0.050883035955430686,0.11799278761881286,0.0857520036512843,0.07394819109237459,0.14907800064315854,0.0886586250912378,0.05132901071853606,0.11956929472266113,0.06421219030588352,0.09135211879107984,0.054729626912067064,0.14211268672313276,0.1324916606104199
36,0.14195080659325054,0.07115822469148439,0.09281646692424125,0.11226425918453954,0.08750931650654763,0.12301626058577256,0.07428399096561876,0.12549587885440014,0.04575936251798232,0.1304820672686334,0.1026138909456159,0.08863769125902249,0.07834855927514545,0.10433095085849708,0.10154509755016523,0.12004681256160715,0.12213080988340147,0.12091157228648605
37,0.14827183467698957,0.048887392656396626,0.08509800781780998,0.08331139213162439,0.1295512414046473,0.08650942042475883,0.09055753843573947,0.061089420460343775,0.10474957867353506,0.1200705687568055,0.14912886146256907,0.10661526365993622,0.13778971574933457,0.1197965459703918,0.11464333036232006,0.0692325297395913,0.14798661470573338,0.108198192353812
38,0.13847668471022662,0.09490885063081907,0.0594857717335085,0.13308500177368118,0.1382758624792527,0.1111495661798447,0.04858475180850483,0.10679358010645507,0.053806151996021755,0.14046933223012256,0.07486667334128502,0.06270195281815426,0.05043400262824728,0.05234022481513925,0.05642025148962663,0.09707716102156666,0.1331243761978928,0.1398891423556922
39,0.1383874073447745,0.0970421149533466,0.0715306481581593,0.1445678891766598,0.13800723303394485,0.11313350244053566,0.040359624051096936,0.1329192597444872,0.054557561745253766,0.09277305479777967,0.07374226720609899,0.08374627535313243,0.05209017075251929,0.13751626864880234,0.054622119775519576,0.09748460075917394,0.10516506266719405,0.13940102084371467
40,0.14588720994948925,0.11218313192385657,0.07106275571392741,0.14561858081991885,0.14159403996725922,0.12944009919438368,0.142792901919563,0.1325730277229461,0.0731220785968414,0.09332457862887283,0.0871747653554386,0.10376328589747001,0.05784694372059162,0.13547887742689285,0.06891629040429631,0.13466619831704624,0.10616959896389379,0.1061037868981119
41,0.1442583730574915,0.09398841089052432,0.11646368937652438,0.12425775276471643,0.10145178236207514,0.0985046374246275,0.04036980141843133,0.1480528391254394,0.06083695314127403,0.08328228046828208,0.047413653078707485,0.08332259759780708,0.04110027377566699,0.13524146192624137,0.07662987142054883,0.14789307568361829,0.06409810533156982,0.09506749014935789
42,0.14360295142537977,0.08011896189907214,0.08645005888725574,0.11324870785323474,0.11974679295585798,0.11572264035866187,0.046104739540766645,0.12113173232718223,0.08585418775914436,0.09893202769409111,0.05917032457014175,0.06846132868108472,0.04938902164019359,0.14906519284346448,0.05470475577131992,0.10494880499066653,0.0775538095525728,0.13396205461291757
43,0.1458248574331364,0.12022200849266135,0.07291650480120383,0.14934487293143217,0.09452182215582902,0.10210170325878558,0.05610326528241061,0.14060574094863706,0.09472185596357711,0.10841411821179071,0.07638593109786126,0.09501338036853163,0.0712426640785505,0.1168842424791252,0.09113962004357384,0.0505484022832763,0.1090996435579498,0.11941003417452589
44,0.1425914381616477,0.09063574006788086,0.06060544382612819,0.05189032746051311,0.11329940299126723,0.12574115566416713,0.11936314432625304,0.14762873825004777,0.056978383111950415,0.07962847333713324,0.0935232382132454,0.13375290458172281,0.07249694673152374,0.12616715638399698,0.08165351635001568,0.07633627054177496,0.08457848889852539,0.1421589202430086
45,0.13930115315569358,0.1059041680937372,0.10172193902258304,0.12424074573928338,0.14892699986368715,0.11193602292313087,0.04139720157603293,0.041491086430011835,0.04508760895016991,0.07190329260255289,0.06244616047952555,0.11077287986643214,0.05654309834320114,0.1032904765108821,0.12581759874068876,0.10638380460829626,0.056938914568862214,0.12856300277225335
46,0.15001564663169215,0.0988936919458792,0.08286391081547685,0.08840650866115254,0.05574966027635188,0.08392798923282974,0.0632548790990966,0.09016946593370492,0.07818117389007184,0.09979732605063346,0.0523770839905581,0.10070937778252523,0.044498222848679075,0.0930710628605918,0.107163314763945,0.08363357745850991,0.07087060074437507,0.0898625105338242
47,0.14376882373735755,0.08431189384589882,0.11468935732158957,0.1023355346527716,0.14996196699894623,0.07477429356296955,0.09364345604491878,0.13672446778028613,0.06431764737845545,0.04723918771781335,0.08341120563415552,0.11473884886513076,0.09015337575788857,0.11062374209064726,0.06321772201666198,0.1199591124247868,0.09108161343073501,0.043646356430383434
48,0.1463704632576891,0.08049639146572103,0.09019146028234455,0.14376886030099484,0.08272533152822668,0.12125412745053048,0.11232257013178057,0.07355952887164183,0.07033815884718904,0.08827548499511786,0.09053667342964639,0.08617073021842249,0.08445095346397691,0.07929721897939056,0.1450573005875489,0.09406424857027924,0.09883054354344098,0.09588928164760854
49,0.1523545857541806,0.10893923210801253,0.051372304379042895,0.11466459238458591,0.1437261506665611,0.0650659254883367,0.1358505619694782,0.05093094112887806,0.13452164958013343,0.06599863838181452,0.057594877291461614,0.07619582035824203,0.04619180184959572,0.13569446070649072,0.0460939402347616,0.10745730666084846,0.12097428891270601,0.13649034702917898
