0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,1.017524397,0.003293202,0.001064082,37.37973393,0.495943479,0.931592034,0.651051446,0.473922815,45.53213124,0.737914199,0.577670408,0.349458209,1.223431995,47.03669814,0.074107423,0.074512804,0.003845862
2,1.271098672,0.003141685,0.000849801,41.19753321,0.35815506,0.523828428,0.566654131,0.476271601,51.48720521,0.468733292,0.720976465,0.774831157,1.391589535,63.7712727,0.041088221,0.02281747,0.005232026
3,0.78963842,0.003725483,0.000902566,49.51429974,0.240804495,0.795017353,0.752322556,0.725548515,58.16982502,0.450940535,0.443670625,0.607039824,0.94800403,81.32941114,0.026414855,0.034402219,0.004798861
4,0.719246402,0.003594497,0.000901127,35.55259409,0.288078752,0.945427466,0.896979646,0.578142726,26.00127625,0.718270619,0.64128198,0.399374768,0.841287517,73.03786203,0.031107149,0.061058204,0.00476485
5,1.175780267,0.003500959,0.000933246,26.67804547,0.23607184,0.853287233,0.719866048,0.53229317,67.45243994,0.966659746,0.433228055,0.41722528,0.805417458,36.73349279,0.044065021,0.048948489,0.003493181
6,1.314060134,0.001567722,0.000701349,30.36175603,0.641088429,0.556462951,0.651999558,0.523604696,53.73655865,0.816966484,0.262544397,0.656096489,0.754128663,36.40087194,0.050151731,0.083156415,0.002375533
7,0.77551516,0.002033667,0.001399562,30.15305574,0.584424051,1.192019994,0.727874264,0.570511831,70.87486262,0.681506607,0.548209257,0.39511568,1.430344401,53.38701741,0.059010446,0.024976671,0.007023418
8,1.276867359,0.002130751,0.001138319,19.8275174,0.580949806,0.786169651,0.725266135,0.743180764,75.92866966,0.383122703,0.521593688,0.477557169,1.194750235,43.04131204,0.033419996,0.030029901,0.007999547
9,1.233210074,0.002564471,0.001297336,20.76047338,0.470580011,0.680531006,0.691680858,0.507206451,48.78457455,0.973229575,0.276130525,0.720032403,0.664314755,71.58106702,0.02423381,0.044858159,0.006181734
10,0.974821076,0.001577009,0.000742981,39.73384065,0.447618621,1.14937673,0.626300518,0.582642581,78.33726706,0.951270653,0.281018017,0.682020926,1.048752768,40.24336838,0.086359427,0.030283744,0.002016016
11,1.321051655,0.001382422,0.000841461,19.16905856,0.227612702,0.839010516,0.900615893,0.483407337,49.67950381,0.681202138,0.377502441,0.81487535,1.133224192,61.42574826,0.027519549,0.016279093,0.00638642
12,1.196047314,0.002061129,0.001471073,43.81610025,0.508136893,0.547424058,0.733604484,0.693834833,26.16014709,0.344634608,0.643494682,0.84218522,0.531006288,82.24637508,0.05800219,0.082773815,0.004907684
13,0.611709204,0.002815846,0.000540597,46.8176632,0.282515337,1.171188153,0.781627183,0.689209292,55.43494928,0.862193633,0.716563792,0.70484221,1.179458688,58.18089899,0.037306551,0.011492195,0.007339463
