0,rmse,SLATB001,SPAN,EFFTB003,TMNFTB003,CVO,FLTB003,TDWI,CVL,TEFFMX,EFFTB001,KDIFTB003
1,0.468216591,0.00336539,48.4038373,0.647774207,0.863347326,0.765239456,0.558097543,45.00447072,0.75081121,42.07208645,0.31029663,0.772878918
2,0.190431856,0.002922748,46.77118642,0.311899971,1.079303051,0.86388959,0.487345639,47.83583068,0.701901106,39.41827838,0.655382612,0.47873706
3,1.026957575,0.003846887,18.89895387,0.278173605,0.575843933,0.761698639,0.493309557,67.74199144,0.498597768,39.29463039,0.619488014,0.356162953
4,0.959105563,0.002653491,23.79061568,0.275962334,0.856960194,0.901186977,0.622563606,45.26447046,0.468053581,38.76953554,0.699636335,0.456237523
5,0.88640943,0.003354069,23.17353786,0.538972251,0.702708062,0.576705748,0.600029999,60.24502429,0.675368731,39.76823646,0.619334136,0.377067776
6,0.800490948,0.002771876,24.4859594,0.330363676,1.197403733,0.686386337,0.578615107,61.02306265,0.36595078,40.67765851,0.496208389,0.508254205
7,0.49988282,0.003301916,27.21451592,0.505234305,0.994505846,0.877286837,0.646354677,31.49145493,0.35792073,42.08940045,0.640714675,0.842823793
8,1.043787548,0.002030583,28.02931959,0.340300217,0.579418931,0.746733681,0.616733529,41.17461579,0.490447661,41.29042511,0.309901966,0.892827174
9,1.02864436,0.00308983,18.78511686,0.403704506,0.696510351,0.64518452,0.541551046,49.59354055,0.423554111,40.57810515,0.357263614,0.39370703
10,0.550608626,0.003631133,46.65914091,0.625295064,0.660330573,0.51766311,0.565306089,58.86435601,0.665644604,44.67058879,0.462803433,0.302144565
11,0.875952187,0.001734658,38.87070882,0.647123025,0.756014341,0.597070114,0.531500731,63.89354399,0.516912569,37.12419527,0.605251886,0.405565783
12,0.656787593,0.00153624,44.06359255,0.589983556,1.046376465,0.518574538,0.511902832,36.8185215,0.761520092,37.78237574,0.579346404,0.517235074
13,0.85070698,0.003493398,23.97231269,0.6320233,1.043243285,0.634996423,0.596191976,53.27576117,0.563869326,43.15264555,0.489507422,0.856476263
14,0.410395209,0.003283274,36.22877665,0.674160992,1.12634529,0.566915583,0.519198722,44.30471814,0.473915534,42.51349532,0.538909211,0.437980549
15,0.94620037,0.001611678,38.54515049,0.484292664,0.838893266,0.727525146,0.486865664,29.87321599,0.513409795,42.41076322,0.725856689,0.633659564
16,0.990425746,0.002980421,25.93554305,0.605232289,0.502391295,0.654677935,0.572777684,52.64784418,0.560726339,38.95054159,0.693502577,0.322215829
