0,rmse,NAVAILI,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,0.669659386,23.78540674,0.003436319,0.001123353,34.05028968,0.589897713,0.728621412,0.819520687,0.613962952,41.62175536,0.945693507,0.50951394,0.890134517,0.502074256,63.92245217,0.03117146,0.039560765,0.005888522
2,1.093071148,24.50453111,0.001329216,0.00055739,37.59143604,0.567531466,0.875633402,0.541177223,0.491037193,72.02964242,0.713717218,0.323312353,0.859224253,0.950929112,52.92440149,0.078195797,0.018085675,0.006498978
3,0.997253937,21.54953266,0.001582761,0.001189011,50.31915771,0.238536949,0.947915038,0.884117243,0.520398934,65.7347772,0.561682652,0.41006091,0.824777982,0.798885793,63.47391904,0.012841433,0.081548725,0.003733154
4,0.950568233,28.14335397,0.002260948,0.000803427,46.94961896,0.591651442,0.598818633,0.61809818,0.620444931,45.43239418,0.903612237,0.627837765,0.428183448,0.882445323,60.83884491,0.087006262,0.063638519,0.00707509
5,0.918462913,27.26779327,0.003592351,0.001062594,40.50399157,0.350429368,0.813898185,0.753701174,0.687408338,45.48052768,0.730498037,0.744333291,0.736302583,1.047204036,81.1632486,0.04154357,0.083111212,0.004536936
6,0.797232272,24.63446237,0.003201639,0.00070808,49.92442298,0.270701925,1.021801315,0.53427321,0.69403217,29.31815783,0.788723108,0.252488269,0.74817022,0.917617332,72.91119113,0.076437552,0.016837324,0.00315498
7,1.017544436,29.36648221,0.002400169,0.000708088,27.23299931,0.647086269,0.910125561,0.793911979,0.709931017,78.86278902,0.446356569,0.258308447,0.465258368,1.113383875,61.69403404,0.030512778,0.077767873,0.006876325
8,1.059786269,25.72687374,0.003761168,0.000620833,43.57766831,0.406987227,0.609314752,0.795189778,0.520083086,38.15120416,0.370807807,0.481120371,0.6810205,1.337478494,79.77242674,0.019089302,0.056484324,0.003277146
9,0.902277444,24.5069555,0.002804274,0.000975094,29.92471167,0.381490221,1.189036102,0.535016741,0.655712033,49.081088,0.655897063,0.722288522,0.853881102,1.194703659,41.14016545,0.043421472,0.0523739,0.005514634
10,0.556736565,25.94849236,0.003388779,0.000715963,39.64749123,0.400898153,1.043674632,0.69970938,0.470647719,41.31975476,0.343228569,0.499735723,0.779017413,0.881042365,68.83521071,0.016757056,0.020734523,0.005130281
11,0.903133304,24.2923175,0.002289507,0.001463689,27.1452713,0.471396877,0.710834626,0.50263976,0.762237995,64.62633217,0.673517674,0.604183418,0.629696118,1.107050657,76.72860927,0.058675063,0.023003739,0.006726083
12,0.803789169,29.06571062,0.00363249,0.001321797,38.14228021,0.351695116,0.70139812,0.686199129,0.657375659,47.19340723,0.549640482,0.729053096,0.797490295,1.009289204,83.55487383,0.075882229,0.071471237,0.005170261
13,0.940876312,21.51352724,0.003348553,0.001271225,34.92058545,0.646350122,0.645889171,0.60695605,0.634665931,73.72070307,0.920984731,0.721244005,0.37447535,1.049309141,40.51108665,0.031146409,0.086871573,0.002471896
14,1.137789069,25.0878775,0.001341861,0.000524206,42.69458644,0.292346369,0.912852457,0.501773367,0.683002693,25.46727743,0.507341277,0.603439897,0.729890702,1.099070643,54.00247284,0.031333707,0.034600591,0.004010683
15,0.972424554,23.59697705,0.003867902,0.000680047,38.10099768,0.300900256,0.963856773,0.828295124,0.465822378,61.86658402,0.883585723,0.58096086,0.625184907,1.334233637,43.04886864,0.084288347,0.08132962,0.007317561
16,1.034239697,28.19852025,0.002304502,0.000532945,41.06635783,0.39379454,0.607659715,0.639057993,0.730284228,60.98613852,0.683436641,0.700517687,0.828707128,0.610704074,44.45114941,0.021353403,0.077035305,0.003550108
17,1.13954503,27.20680545,0.001857779,0.000661152,21.93484976,0.338728477,0.766722441,0.905096586,0.641448855,64.76579766,0.666224266,0.519987387,0.4210546,0.742022164,82.60838336,0.029695458,0.011652979,0.00538068
18,1.090833226,29.8812083,0.003802077,0.001309627,31.74637209,0.232725566,0.501537098,0.714457576,0.624021728,48.92140273,0.603172796,0.487743686,0.764605267,1.109153831,76.33628931,0.059376224,0.073416743,0.003628628
19,1.060097378,26.57732777,0.001502316,0.000674898,26.03087623,0.557049762,1.00390287,0.766736573,0.592027925,32.54298385,0.710481291,0.558652263,0.774655055,1.240109373,84.09757616,0.02741845,0.055628905,0.005684089
20,0.995876548,29.49222406,0.003007713,0.001312244,24.41568368,0.5088266,1.035664486,0.76846655,0.642565438,62.15349373,0.716440693,0.418657028,0.783661316,0.7242599,45.97770129,0.086918186,0.089434094,0.002069974
21,0.670459869,23.21777591,0.003318284,0.000876357,34.30748251,0.460749634,1.143531552,0.687550393,0.57049715,38.72775395,0.977792485,0.419509782,0.897463314,0.506683446,68.74412866,0.011152722,0.035890713,0.007979792
22,0.480053527,22.56902838,0.002816675,0.001097858,46.36389552,0.515857613,1.083037882,0.855387574,0.577275313,55.77941461,0.355882701,0.377001267,0.55925316,0.512035212,67.60660201,0.040072796,0.042071232,0.006055437
23,0.518959293,22.36033274,0.002732841,0.000947353,46.20050583,0.519931473,1.105584505,0.870521304,0.56833515,55.39672009,0.344199387,0.349430901,0.533096807,0.600328411,88.97633274,0.053610677,0.029256787,0.00468397
24,0.61427559,20.64217917,0.002584583,0.000917355,46.65345222,0.504766011,1.115971103,0.871577022,0.553901542,56.19182932,0.430702352,0.316217472,0.527317729,0.62840614,86.43207352,0.057875579,0.045359712,0.006037654
25,0.584380176,22.57125763,0.002909855,0.001037548,46.46278115,0.51709013,1.108311626,0.859782323,0.548187662,52.90101964,0.403533983,0.350610276,0.528694966,0.593440636,87.87996979,0.05006509,0.028214245,0.007756168
26,0.474741129,22.40929253,0.002684497,0.001453588,44.59980133,0.619525102,1.187051349,0.90519738,0.594985588,55.79430518,0.330541476,0.372404276,0.549378142,0.539520323,35.40389235,0.066873185,0.045545437,0.004608978
27,0.87940656,20.54362287,0.002092067,0.001450529,17.21069089,0.666904367,1.190863513,0.90082977,0.599331537,57.32288177,0.480883167,0.384315142,0.576784,0.500399474,36.08941997,0.064178867,0.047932732,0.004351354
28,0.652606115,21.32225862,0.002576199,0.001402327,49.55169353,0.631719534,1.160174237,0.843255992,0.526470141,72.92937947,0.388273891,0.284038704,0.311638044,0.682763933,55.15275208,0.067879726,0.064211175,0.006297727
29,0.613481527,22.43571248,0.003126625,0.00119809,44.17032005,0.615315788,1.064170378,0.817841163,0.595602193,69.33848073,0.476830238,0.448209006,0.68979202,0.526921578,57.71888416,0.039588967,0.041502526,0.005981316
30,1.010006312,23.26287416,0.002022047,0.001120642,35.94907488,0.55829049,1.199113187,0.741273943,0.495657751,79.6280061,0.344688337,0.37544054,0.485066816,1.492775492,48.80518341,0.069201649,0.04154247,0.004861065
31,0.690379052,22.11440589,0.002736288,0.000811776,48.15740825,0.674046962,0.837916654,0.806586487,0.580413079,58.91206429,0.329858051,0.30597575,0.592711481,0.800514134,67.8318147,0.046427116,0.062142907,0.00289899
32,0.618933981,20.87640351,0.002450637,0.001397832,44.33774363,0.592360654,1.063732474,0.654158449,0.603610109,51.1998512,0.545831172,0.450452813,0.37276747,0.541030374,36.9335253,0.072127394,0.032750132,0.004337781
33,0.708491658,22.90667876,0.003055357,0.001199758,32.31938943,0.544400668,0.974304412,0.903391156,0.540072974,69.13457641,0.829633998,0.356461363,0.664662502,0.66603889,50.06176321,0.036287025,0.046289026,0.006342788
34,0.821771398,23.83879228,0.001890369,0.001101413,41.75557985,0.442179326,0.885499444,0.844514883,0.494990838,53.16613373,0.619482281,0.451961687,0.559381025,0.82255734,65.57535504,0.051634556,0.058933407,0.007530693
