0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,0.806978709,0.00144245,0.001005274,44.54776838,0.449133463,1.004509049,0.724878428,0.579389401,79.94062949,0.65017624,0.41486224,0.60781064,0.945083251,82.71178437,0.079978626,0.014434688,0.004617416
2,1.060517426,0.003866031,0.000899253,31.88233773,0.34445145,0.587191897,0.653136764,0.751024038,56.0827992,0.856711441,0.385263897,0.36494936,1.43352165,39.45519081,0.028711924,0.02180597,0.006031946
3,0.898463515,0.002190409,0.000855645,36.92562845,0.64938716,0.771037719,0.763524327,0.486783357,25.45832164,0.726433536,0.313777937,0.520268651,0.899241445,88.62663565,0.077759878,0.06610226,0.002081973
4,0.81742745,0.002767103,0.001021484,41.76321989,0.495154546,0.82447759,0.554993815,0.626921767,66.2933685,0.824529043,0.526127396,0.780011912,1.32662982,81.32059444,0.028381931,0.039473293,0.007245175
5,0.883964008,0.002575616,0.001013195,46.23638504,0.468581978,1.136213407,0.507578622,0.576802215,52.93955735,0.844817062,0.475268818,0.340434526,1.31883087,87.19918424,0.014388134,0.039644696,0.004588583
6,1.03995419,0.002922218,0.001393888,22.10493825,0.27320153,0.783924503,0.558032049,0.501551388,41.20408709,0.628436914,0.591877288,0.882532779,1.090329552,89.4572607,0.016693624,0.067033163,0.005782797
7,1.056608959,0.002834815,0.001243353,18.85637891,0.547359971,0.881633441,0.856198546,0.523935568,55.24859236,0.961115316,0.691412965,0.721719069,1.460250743,55.60587371,0.060205173,0.078920188,0.00240164
8,0.451214385,0.002583875,0.001038977,48.84080154,0.628742973,1.194163,0.864239432,0.562573575,73.98586721,0.337238761,0.60825237,0.80479177,0.539688002,84.64799726,0.029913177,0.076755334,0.003676185
9,0.958435226,0.001713798,0.001338951,32.23895589,0.520064889,0.803010217,0.518703906,0.533021229,36.73387876,0.532887055,0.648726467,0.790786612,1.14622014,88.63330053,0.013323895,0.011846563,0.004809955
10,1.011008157,0.002329903,0.000690435,34.50699841,0.248712263,0.936238024,0.756074575,0.47865505,57.54046002,0.823890085,0.36038928,0.874473307,0.668934993,65.83745532,0.050266957,0.089658688,0.002680746
11,0.845758774,0.003211868,0.001498896,50.07380204,0.560053606,1.06844267,0.65508103,0.474907086,53.75046204,0.66370167,0.559006248,0.628912325,1.413903588,48.92661301,0.026284522,0.07105907,0.004513001
12,1.13785247,0.001539215,0.001217147,17.32183092,0.293155119,0.753487543,0.846361946,0.643998621,57.09097353,0.895072362,0.605554234,0.633294859,0.553062762,37.18599314,0.037063067,0.069918021,0.002566854
13,0.985035211,0.003478561,0.000519781,25.41544123,0.331185503,1.191724754,0.824668332,0.740404373,43.29428613,0.398164625,0.335115149,0.398951807,0.559054354,63.69047701,0.034071604,0.029883581,0.004523105
14,0.828613071,0.003321749,0.00068072,46.28787466,0.275626957,0.604503969,0.819067468,0.724436693,57.16297052,0.633686896,0.747043601,0.396321478,0.766356697,69.61159884,0.074827372,0.045219111,0.006469547
15,0.907336339,0.002763701,0.000735241,44.8664354,0.552339492,1.194610996,0.70571796,0.664690592,43.66608633,0.891439065,0.492647139,0.307354666,1.32483071,37.31044907,0.086226358,0.049219356,0.005422225
16,0.852919701,0.002151113,0.001258571,22.05260309,0.390952801,0.9388685,0.732927496,0.749413142,35.88217,0.748004217,0.723041977,0.850017013,0.903515729,71.12860836,0.070807089,0.019961904,0.005993643
17,1.091703656,0.00219027,0.000851996,47.08404602,0.452975765,0.586884246,0.745859502,0.774998745,32.66027167,0.838093735,0.33123009,0.649830621,1.316469029,61.01260105,0.017348938,0.055238908,0.002502106
18,1.118974695,0.001854015,0.000675475,30.07834003,0.369470278,0.981724552,0.602178544,0.660831753,34.69251693,0.398599791,0.749882574,0.327950198,1.449323434,48.43411021,0.02539533,0.016521738,0.004852772
19,1.069573897,0.00293464,0.00138774,22.10619574,0.641726572,0.991203085,0.530715647,0.755361495,57.45555528,0.768486864,0.418395284,0.741957587,0.621258201,89.51967047,0.079183098,0.080834148,0.004459492
20,1.025715966,0.002271423,0.001315905,32.19244575,0.262288368,0.605736278,0.81362012,0.690686873,63.73937615,0.597102357,0.611797524,0.799663508,0.507326451,79.23736298,0.058127351,0.054527979,0.002962375
21,0.756874929,0.001301672,0.001117366,40.19484564,0.599085762,1.087330412,0.90214596,0.590206109,79.13399237,0.482309508,0.276397237,0.519592388,0.76917691,78.69333125,0.043397834,0.089824007,0.003422183
22,0.752480454,0.001320097,0.001121607,39.5666179,0.602133695,1.096788592,0.899548986,0.590292008,79.53262494,0.487786534,0.260446316,0.495935883,0.768116163,75.03675267,0.043741914,0.089373215,0.003344418
23,0.687832105,0.003831986,0.001138279,49.60172641,0.668922778,1.122996118,0.89414636,0.554646097,72.32813817,0.330743311,0.268887112,0.488333315,0.69680207,75.59033605,0.046293709,0.081860367,0.003683832
24,0.566334242,0.002521769,0.001114083,49.84352891,0.666487415,1.154883892,0.883359302,0.549616433,73.33870746,0.339313592,0.45927731,0.464180218,0.673318653,74.32932513,0.054397,0.080440745,0.003971296
25,0.808285031,0.002559916,0.000918511,50.49915691,0.598237463,0.681195077,0.869327266,0.551119741,70.81244275,0.363553725,0.461469558,0.451068776,0.832764687,83.24566011,0.063882282,0.06123537,0.003986604
26,0.585667585,0.003088535,0.001154882,48.50407104,0.666034503,1.180814809,0.796640777,0.612621767,74.30947027,0.439519185,0.53631246,0.568857165,0.505473559,74.37513263,0.052351605,0.075797925,0.003834129
27,0.47862864,0.002431446,0.001476379,41.387274,0.613557681,1.039907641,0.78974949,0.511233367,66.13153747,0.34867123,0.65688662,0.562694168,0.613788376,59.65843156,0.036166571,0.084458112,0.004069889
28,0.676084505,0.001985251,0.001469343,42.61119863,0.618208252,1.045837117,0.778580644,0.515273617,65.53860982,0.557176434,0.671504487,0.684065678,1.048592453,56.19437571,0.037027469,0.084378695,0.005397577
29,0.676759707,0.003506799,0.000502859,43.61516748,0.425693984,1.025336126,0.701033345,0.503099751,48.35454498,0.44149307,0.635372595,0.566164899,0.953756981,43.83290896,0.020104835,0.060126582,0.002002733
30,0.822172621,0.002443805,0.000577343,37.23122276,0.573925421,0.884044442,0.648952141,0.567095024,61.0175112,0.37216386,0.688783638,0.588590536,0.605057238,57.64978697,0.034175452,0.073105066,0.003171203
31,0.819183079,0.001998537,0.001445399,37.30274119,0.512558965,0.941430974,0.78308936,0.596825421,68.50737119,0.442586795,0.575240104,0.687963707,1.202642329,51.49277975,0.01105135,0.086894767,0.007678981
32,1.078752368,0.001588572,0.000943572,39.93596608,0.62553913,0.520715529,0.838085784,0.465131907,77.07768279,0.690681795,0.711434601,0.835119969,0.827914414,66.8116684,0.022100145,0.0619468,0.005196857
33,0.500785292,0.002398266,0.001038021,44.62118117,0.412198952,1.031706696,0.804015942,0.615435569,62.27947869,0.516450061,0.633302379,0.549113686,0.984691606,59.91325535,0.031790202,0.031948721,0.006527163
34,0.745330919,0.003059432,0.000782764,28.32762494,0.475533938,1.1205106,0.67577847,0.535063217,68.38710638,0.331761123,0.523310681,0.739993551,0.505201814,52.43982004,0.041113533,0.076782441,0.002907441
35,0.592248731,0.002744134,0.000602096,34.93563067,0.524702613,1.159937852,0.864042415,0.505283589,76.38151249,0.576496896,0.417478236,0.67360637,0.586250054,44.15717735,0.039655715,0.065757652,0.00414672
