0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,0.950829367,0.001784908,0.001105944,35.41278177,0.4331589,0.744986036,0.735729873,0.475321532,66.540655,0.824813293,0.524496425,0.309204712,0.573285155,74.46552865,0.080444225,0.056255495,0.003987011
2,0.964116148,0.002203382,0.001125336,43.00954701,0.27162366,0.668357888,0.671104312,0.676124834,79.53710562,0.862895156,0.395500666,0.671795432,0.639817053,47.16959047,0.046332676,0.055275448,0.002858551
3,0.690712436,0.001683601,0.001277505,46.66990315,0.642706722,1.19617382,0.657678314,0.693840446,53.46342867,0.691734497,0.53234685,0.764936116,0.736569036,54.1526513,0.072065725,0.086028392,0.006492268
4,1.043494403,0.003282025,0.001164924,17.86497143,0.580529738,0.957825522,0.817768911,0.765828479,56.77881581,0.413440907,0.504027897,0.71219155,0.717685966,74.21928274,0.082797555,0.068867033,0.007452156
5,0.717520249,0.003144004,0.00113894,37.7703139,0.347529118,0.874279327,0.833775164,0.642006931,38.31187859,0.808045348,0.72944615,0.804451548,0.894627322,70.71255131,0.073289312,0.084563245,0.003146581
6,0.56534788,0.001834644,0.001405313,49.60853053,0.342644117,1.193510581,0.71040082,0.538961993,56.61924927,0.702481139,0.742071046,0.879439397,0.921284573,42.40152422,0.04368762,0.023351157,0.00681024
7,1.087238342,0.001300283,0.00052929,40.58048247,0.395286204,0.632684671,0.811685015,0.660597641,72.72677169,0.647160872,0.309015786,0.384077336,1.476105083,51.15434967,0.061803432,0.088628994,0.005517868
8,1.071924597,0.001654068,0.001109858,31.77521952,0.251084492,0.738266798,0.846713708,0.602106697,32.53758831,0.553400183,0.576771944,0.86229177,1.101506116,43.7115858,0.060143678,0.017499979,0.002228815
9,1.082056888,0.002197012,0.000889762,22.27942638,0.558425355,0.533844232,0.644425598,0.480402386,65.76299972,0.671885158,0.346032212,0.630855647,0.507850511,36.49071883,0.025353619,0.02689238,0.005188686
10,0.934858492,0.00318275,0.0011698,19.65622759,0.572815993,0.983628647,0.712341552,0.575709514,41.5056243,0.48807652,0.508556607,0.346309149,0.502447406,62.95121246,0.074414989,0.031552771,0.006438803
11,0.839019865,0.002104744,0.001227403,39.61917737,0.326914247,1.159450112,0.648657413,0.563360724,33.0129428,0.413450567,0.715180564,0.458810105,1.338217227,58.35007398,0.035489877,0.02190837,0.002262413
12,0.853405541,0.002015793,0.001060964,45.37668656,0.383495991,0.929393579,0.682621078,0.563508596,47.26323641,0.559491446,0.592698241,0.482927479,0.822363933,37.99536653,0.022768172,0.06729528,0.006808728
13,0.923369156,0.003748874,0.000532949,44.93482792,0.351489773,0.710692575,0.618849329,0.646312307,41.72344069,0.788267425,0.32699642,0.561005691,1.263597712,80.45637321,0.02867832,0.08323946,0.006570601
14,1.012474427,0.001880248,0.001034976,39.26381376,0.603908411,0.560515942,0.87329039,0.580106362,59.13378759,0.90020256,0.491880468,0.565584417,1.36031839,67.14263474,0.027797048,0.035260811,0.005477213
15,1.022185175,0.001373267,0.000644383,46.73782226,0.482376322,0.830807951,0.850470329,0.639441688,42.32127771,0.369945681,0.537240337,0.887202473,0.708416906,58.02045588,0.017333732,0.068396177,0.002002992
16,0.997051037,0.00239245,0.000674496,18.6273244,0.599200799,0.894233201,0.610901593,0.622989785,49.17673374,0.655611416,0.318345274,0.53360463,0.672213304,80.50729388,0.019969327,0.071055282,0.007900397
17,1.063232554,0.002311426,0.000846068,44.11053897,0.277071545,0.587777024,0.574357482,0.562323796,79.64449972,0.53145836,0.252349938,0.496835194,1.070593494,52.89080714,0.05026074,0.086020258,0.00777249
18,1.076074801,0.002253006,0.001304624,21.47247529,0.318172829,0.647356674,0.840488959,0.736822394,31.98917985,0.372099861,0.525428775,0.627950995,0.829143083,57.05102821,0.02982072,0.052705228,0.006369751
19,0.712005127,0.002600344,0.000672855,44.97604716,0.254005472,0.962221737,0.674617479,0.670160391,73.14364957,0.47998687,0.493014828,0.827613895,0.535201423,66.13346516,0.016319561,0.024423112,0.003484884
20,1.030458103,0.003090029,0.000518629,19.55628902,0.311389013,0.82862981,0.796282049,0.499999314,59.81393966,0.772035123,0.664956355,0.545675938,1.077931388,72.84615337,0.058652569,0.058005129,0.002141749
21,0.64063681,0.001517776,0.001463632,50.26821743,0.667053046,1.181310638,0.53017208,0.720787319,52.87767444,0.970591476,0.653371705,0.75462177,0.928497644,43.21843358,0.04042204,0.043649478,0.007083535
22,0.641965302,0.001470647,0.001499046,49.77244458,0.48263691,1.091151635,0.509581921,0.523353713,65.0479467,0.964009401,0.653664555,0.746289138,0.965956079,41.29625604,0.040294961,0.043255612,0.007172824
23,0.570498662,0.002682096,0.001467815,49.26945198,0.656909116,1.070888141,0.495967775,0.721092661,49.3584413,0.944978914,0.672079523,0.893831906,1.191794205,47.06377303,0.050231569,0.010458596,0.004546582
24,0.610445153,0.002784291,0.001401591,27.93291634,0.5263795,1.049879257,0.76270602,0.516646621,48.1867182,0.888942385,0.694521024,0.896145004,1.208548639,89.2720097,0.050745293,0.014037001,0.004419819
