0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,0.943021503,0.001997265,0.00106296,27.7897507,0.563636323,0.842640797,0.621544608,0.484454261,34.00030851,0.650476633,0.362114464,0.505801736,0.978336259,46.63876174,0.02310312,0.043505251,0.002234761
2,0.57832334,0.003170547,0.000624605,48.24961589,0.662296484,0.797191494,0.824387658,0.718178511,57.88080473,0.509620365,0.699725979,0.873351681,0.56346412,85.37099067,0.020622859,0.084547009,0.004781321
3,0.992124371,0.002898714,0.001022434,34.47186708,0.303282313,0.649037673,0.628314619,0.535413397,45.16970575,0.554163555,0.443208371,0.31218664,0.928865631,41.37780934,0.087493837,0.026662331,0.00565178
4,1.034036151,0.001357566,0.000799984,24.9356984,0.535536815,0.615965795,0.789542249,0.651514424,47.01409672,0.56824514,0.420282416,0.313121909,0.740952962,60.39199448,0.020979315,0.085537496,0.002696412
5,0.864085555,0.003673861,0.001094724,26.29428366,0.290478896,0.744919986,0.547789785,0.750753054,52.55996927,0.818443796,0.464273444,0.449175631,1.02997845,73.38655806,0.063975291,0.085382159,0.003846983
6,0.961337212,0.002261538,0.00094793,25.4156611,0.230505191,0.953315856,0.582151121,0.721805163,74.74122616,0.76419825,0.71320225,0.606037521,1.37905104,52.00083594,0.069741313,0.010143967,0.004141381
7,0.694552441,0.003696653,0.000545596,35.4386305,0.477800285,1.142618046,0.69351181,0.652350884,58.31301341,0.490327395,0.401465678,0.490887753,1.356717108,48.51003561,0.082565119,0.012239476,0.002791566
8,0.948954074,0.002047021,0.00112764,49.45391434,0.45818084,0.55326004,0.821230224,0.609744082,42.20169373,0.859273208,0.318964277,0.34901332,0.691824957,88.2863813,0.024918572,0.078542555,0.003627795
9,0.762879779,0.003862422,0.000632699,46.211319,0.436610007,0.886624283,0.52861042,0.620144842,63.15417093,0.577109131,0.312120324,0.462402883,1.250285043,36.7567555,0.076146049,0.043042029,0.006546357
10,0.707466834,0.002625655,0.001421645,41.18253284,0.38000396,1.1347508,0.560153272,0.534154103,59.8479581,0.953124887,0.443816553,0.702421507,1.165863957,40.95090323,0.051304588,0.07428994,0.00601363
11,1.002464245,0.001352248,0.000957728,24.66227158,0.307873265,0.772179127,0.889881684,0.746625426,62.22363086,0.833369899,0.690176317,0.786440175,1.094408559,50.118903,0.02653951,0.067253244,0.002887535
12,0.928873116,0.00235032,0.00071816,23.05121712,0.597912496,0.701033193,0.519330745,0.705916882,71.84893467,0.808016182,0.719787375,0.616025595,1.204948828,74.03095614,0.05541805,0.030578805,0.002202818
13,1.015577357,0.001340859,0.001498524,26.3197099,0.249754915,1.05676098,0.797506005,0.485206075,54.96541733,0.355851053,0.411402827,0.395529327,0.969183737,80.55301954,0.016762894,0.042911877,0.007440525
14,0.848750265,0.002925467,0.000937922,44.33521879,0.596558392,0.97536994,0.593176529,0.725399389,65.39432265,0.78787593,0.530356873,0.633387238,1.081560744,69.39715319,0.086802797,0.076297135,0.002250317
15,0.936619639,0.003760466,0.000852033,19.82444019,0.509951423,0.944499619,0.808839508,0.602939594,45.26125627,0.952248012,0.283564761,0.732670441,1.49771821,53.18547017,0.022800116,0.054106779,0.00522065
16,0.756330727,0.0035296,0.000609793,46.85043829,0.590959907,0.8278387,0.783575415,0.694700615,74.00453405,0.882564319,0.551953268,0.423546721,1.314760062,64.77410655,0.073099117,0.037926055,0.007965812
17,0.917609716,0.003013955,0.001137639,36.69556419,0.550442992,0.765064386,0.740425775,0.609008056,75.38521747,0.443748654,0.355143614,0.715502153,1.453741705,35.2081377,0.060675501,0.041667368,0.007742333
18,0.793217936,0.0029473,0.001346201,26.75976923,0.497391382,1.017113605,0.575724369,0.510095543,41.24535792,0.680703469,0.464106497,0.616277679,0.856045359,82.98468441,0.064646665,0.068912824,0.005483088
19,0.81781397,0.003578639,0.001274615,20.7127877,0.418882156,1.165938863,0.765065488,0.579957932,31.51702937,0.405616937,0.250271696,0.797427305,0.807178631,73.60746264,0.025684245,0.016363332,0.003780582
20,1.033984457,0.001844626,0.000537384,24.46611952,0.246661379,1.048792858,0.49625132,0.598855584,47.07020224,0.364371019,0.331036229,0.356372116,1.351443198,69.33199973,0.035519556,0.069633768,0.004194418
21,0.522858659,0.003353206,0.00050929,39.23191949,0.647583842,1.190707638,0.669046061,0.662420444,68.21774825,0.495588684,0.616811878,0.899035501,0.533286393,56.9957049,0.043041029,0.060420316,0.003140039
22,0.59157292,0.003376159,0.00069734,40.14401977,0.663795927,0.530478346,0.897421982,0.773145059,68.73771308,0.484664696,0.631426618,0.896007129,0.52015697,58.07800756,0.041121955,0.055971438,0.004693015
23,0.830349483,0.003249087,0.000516767,30.36233466,0.667370023,0.882606853,0.683143272,0.670957568,67.95100892,0.702123613,0.610947386,0.88505764,0.519584609,89.13289961,0.011955357,0.088701301,0.003363279
24,0.58030243,0.003237658,0.000806089,50.43624567,0.640178902,1.199602076,0.855945734,0.683292968,57.19252484,0.619944756,0.652113335,0.844392242,0.630459029,56.84892059,0.04109514,0.061661859,0.004643865
25,0.684014214,0.002663068,0.00062197,39.48464986,0.637320808,0.67493211,0.71602308,0.643653635,51.42419535,0.499673764,0.599075263,0.841404781,0.60308294,65.33499289,0.034693422,0.058891196,0.006640812
26,0.553676364,0.003361015,0.000725641,42.45351064,0.629525255,0.578767018,0.655891385,0.77480787,68.34665492,0.424618657,0.746291621,0.542561429,0.503126666,79.01473183,0.045910927,0.049127061,0.003200732
27,0.798385105,0.003432205,0.000697592,31.44927054,0.618270811,0.584315126,0.653654714,0.574512818,77.41313166,0.435835248,0.574478633,0.553959932,0.667796746,77.35135597,0.044510303,0.052139774,0.003150635
28,0.941684025,0.002448074,0.000858315,43.05544048,0.372247528,0.505281615,0.662097886,0.765078642,78.64356462,0.346731491,0.741245625,0.565256129,0.763418139,62.81082456,0.032347842,0.032925675,0.004243813
29,0.822340787,0.002739986,0.000508233,37.25146487,0.564950436,0.723576748,0.621103443,0.74550229,26.12884336,0.635642757,0.664943192,0.533715315,0.50239987,42.91367517,0.048457857,0.047922637,0.00241335
30,0.789232036,0.003857172,0.000755489,29.96698895,0.530170068,1.115885284,0.621699776,0.671102531,70.35599214,0.401117662,0.50989967,0.657417714,0.881114352,55.60463922,0.054008278,0.049168637,0.00200003
