0,rmse,SLATB001,SLATB003,SPAN,EFFTB003,TMNFTB003,CVO,FLTB001,TDWI,CVS,EFFTB001,KDIFTB003,NCRIT_FR,AMAXTB001,NMAXLV_TB003,NMAXLV_TB007,NRESIDLV
1,1.023443456,0.002733312,0.001077207,20.39997769,0.322330808,0.543779207,0.663716806,0.640809345,64.57033787,0.430506103,0.515128147,0.456068674,0.755105359,53.78890802,0.059827517,0.062387176,0.007246692
2,0.390116181,0.002748506,0.001025985,30.7808344,0.616076806,1.187652192,0.860709633,0.680729313,38.56571443,0.686467627,0.512385021,0.573670328,0.665192622,80.00460769,0.069450217,0.011709046,0.004357413
3,0.655316921,0.003574818,0.001205382,33.82568917,0.445139855,0.875219505,0.624833312,0.528547281,66.89629896,0.418347393,0.695155389,0.426467235,0.926464392,68.0988466,0.01425854,0.081985552,0.002290979
4,0.833870893,0.003150577,0.001471896,19.25922978,0.394173148,0.849063058,0.891496669,0.604158629,76.88729302,0.735401701,0.504139394,0.702954934,0.688134371,41.80979128,0.065591289,0.061794946,0.004551353
5,0.61467137,0.003589383,0.001018278,46.99578635,0.287433475,1.047648724,0.632085302,0.507781725,75.93119508,0.680170462,0.335075513,0.349365434,0.820947196,89.32566427,0.082257594,0.053668342,0.006916352
6,1.010032186,0.001997629,0.000897097,24.42317437,0.354991674,1.15902409,0.575406226,0.742478692,51.52882428,0.353666181,0.569570207,0.448810955,1.422485747,62.51009781,0.068230705,0.088691533,0.006561739
7,1.035839498,0.002992796,0.00108688,17.66216278,0.450987195,0.549125782,0.739370645,0.57955105,29.04613206,0.377178658,0.274973506,0.567847432,1.329701364,74.19077519,0.051248935,0.075031611,0.002475507
8,0.899775152,0.003561993,0.000680704,43.3815644,0.276191183,0.547877042,0.848807757,0.486898336,49.1147017,0.578521935,0.744524232,0.778094504,0.891208351,50.88620648,0.050856536,0.025128085,0.006508065
9,0.90393395,0.00255774,0.001438081,17.86259251,0.622368836,0.748485449,0.886933579,0.75567289,79.06763687,0.562145269,0.469061243,0.58954823,0.731645222,86.8601659,0.077718142,0.04139152,0.003572862
10,0.930919105,0.003223678,0.000698994,43.04964989,0.293304712,0.716459329,0.520720155,0.593144435,46.92306805,0.45381591,0.606177398,0.847691723,1.210261626,87.7160604,0.069360756,0.066276381,0.005681734
11,0.812583866,0.002939585,0.000923877,28.50787257,0.563235269,0.936996694,0.78528556,0.628432534,47.90984279,0.936969382,0.635798399,0.745467216,0.82906979,82.5858107,0.024058145,0.059555267,0.002026392
12,0.897352668,0.001684647,0.000849048,29.53899768,0.497989597,1.152420965,0.5178346,0.71673431,69.3663473,0.898181528,0.67801371,0.740043536,1.464510717,56.41989771,0.011313993,0.064897848,0.006065247
13,0.885890261,0.00185809,0.000965493,25.95040052,0.578727481,0.869295071,0.779184778,0.487916249,47.59301455,0.671334517,0.274363841,0.75757704,1.137359722,82.32275949,0.034394975,0.052415738,0.002524958
14,0.740500037,0.001944818,0.000637348,30.32660654,0.602731005,1.043487206,0.641389786,0.515267258,69.66475032,0.757624513,0.439529523,0.663821544,0.696327097,45.15056421,0.030889327,0.072466852,0.003670464
15,0.982459922,0.002910593,0.000729825,20.57445931,0.400054925,0.746179777,0.663941357,0.693160667,61.318382,0.355232246,0.633262331,0.745395044,0.840464899,54.74305954,0.060150525,0.051707818,0.005998084
16,0.877438509,0.003789072,0.000993835,20.54659062,0.648734723,0.674192161,0.858263597,0.654689233,28.511427,0.481371905,0.638231695,0.351420369,0.565236676,62.83193619,0.017691492,0.018911079,0.003644869
17,0.971238136,0.003318495,0.001237933,20.09278347,0.51826649,1.118418191,0.584283404,0.637268825,52.87292949,0.798015727,0.289044763,0.435520374,0.653331203,76.31928681,0.038491417,0.032148945,0.003099114
18,0.734245978,0.001841709,0.000984145,27.22405382,0.606627955,1.172657285,0.848103708,0.659842707,68.14945038,0.456444644,0.638924688,0.851332819,1.462704992,77.81032309,0.054769845,0.057659352,0.003876126
19,1.026773704,0.002265365,0.000587809,29.04003833,0.527398686,0.600431143,0.730556157,0.467944003,40.71895618,0.688111185,0.377132859,0.377393188,1.328635532,68.26561639,0.022961838,0.078730412,0.003897761
20,0.957677954,0.003176105,0.000601816,22.80780414,0.499120547,0.629921379,0.715776354,0.743416694,26.95095834,0.818152594,0.414397669,0.820457957,0.733022343,56.4654579,0.038280376,0.038011667,0.007140841
21,0.989793011,0.001383242,0.001306334,49.37383279,0.227892835,1.042252225,0.581313541,0.56113887,36.50367021,0.579199015,0.372176068,0.301771053,0.506073548,87.1125696,0.089539262,0.014881532,0.00499626
22,0.850840416,0.002429261,0.000814991,36.10247845,0.251425981,1.001193389,0.783757943,0.68598967,35.33497051,0.863408963,0.337609531,0.527576099,1.087390691,89.89364409,0.087629582,0.041134941,0.007806527
23,0.44807397,0.003848817,0.001093939,38.68535562,0.657100073,1.093992528,0.683132285,0.558646831,58.06779947,0.624639068,0.546164772,0.504216549,1.017635885,81.58265413,0.080897532,0.01091448,0.004591731
24,0.416023488,0.003875156,0.001121338,39.30305392,0.655608712,1.195985573,0.687794221,0.555409801,57.52651066,0.547555999,0.543593299,0.508575024,0.977310148,71.11740114,0.077762938,0.012846354,0.004568579
25,0.34659387,0.002227722,0.001383085,38.61898754,0.666103954,1.188337537,0.813311542,0.545026268,42.2681416,0.520113064,0.559021301,0.646574886,0.593648151,70.78389885,0.074013254,0.023161705,0.005396273
26,0.432834811,0.002178185,0.001356456,33.01436647,0.670748869,0.95275475,0.820137489,0.773610332,41.23378947,0.518020036,0.458624015,0.662207497,0.595167758,66.63576908,0.071410069,0.024176334,0.005429799
27,0.437239291,0.001496241,0.001365624,41.45083202,0.551346234,1.195677639,0.905937147,0.710869939,33.70019434,0.626907483,0.580225291,0.650188803,0.55386313,74.22015668,0.044708893,0.031011051,0.005081116
28,0.44249248,0.002623893,0.001200064,32.67638607,0.626357613,1.107486144,0.81602704,0.610169378,43.28502867,0.98224722,0.488019146,0.623019012,0.605537192,35.67142074,0.07406554,0.020572039,0.003023984
29,0.503841709,0.002769712,0.001410546,36.99100425,0.463947294,0.817806702,0.756720103,0.667708995,31.86876945,0.513375251,0.733551365,0.553115005,0.792073832,78.74622685,0.061622898,0.029627073,0.007679896
30,0.510087613,0.00216129,0.00127553,46.19065035,0.669059622,0.962704992,0.813431081,0.537024418,38.24272332,0.730724524,0.538298955,0.620396408,0.637895812,71.38095541,0.084128192,0.04479327,0.004309408
31,0.391718046,0.002319622,0.001161465,34.63021861,0.582819662,1.093364485,0.87488937,0.590271732,43.06324064,0.632001681,0.686646183,0.684087164,0.50793219,59.72882974,0.063882694,0.010570468,0.005243812
32,0.472684182,0.002462156,0.001486521,32.1558416,0.539002736,0.900578163,0.9029264,0.681109613,53.16786078,0.407250399,0.519957054,0.490096191,0.514010274,64.09183584,0.056643148,0.01896664,0.004173041
33,0.580872176,0.002753318,0.000528188,40.04408138,0.634979678,0.813627088,0.838441524,0.616213543,32.4087269,0.712295676,0.581839055,0.899620588,0.900644706,84.15869438,0.075959713,0.034855015,0.003091598
34,0.828232092,0.001656354,0.000784255,35.32265193,0.408822585,0.999081647,0.869590342,0.713654589,45.03895051,0.817479705,0.409385832,0.406295818,0.971889485,48.4476727,0.046335581,0.047204354,0.004778506
35,0.555126158,0.002081161,0.001026357,47.62652216,0.47831504,1.134223082,0.767642321,0.527272459,39.23335227,0.770245185,0.502598228,0.703107938,0.684863924,70.72728784,0.065099332,0.026669185,0.005863231
36,0.387828076,0.003371158,0.001497255,44.75208675,0.37203013,1.068344909,0.797935122,0.576404599,56.89624544,0.595106155,0.709025092,0.470779881,0.781674401,65.92084837,0.085649128,0.016275648,0.006382774
37,0.412114875,0.003376718,0.001470586,44.8660194,0.36676139,1.07523175,0.800896872,0.575962835,64.43784361,0.395300186,0.692131161,0.462179912,0.751555387,58.68667378,0.085692635,0.016294264,0.006414927
38,0.581096243,0.003660523,0.001377125,42.00443408,0.333740631,0.91049906,0.755040132,0.49421916,74.58442582,0.602626561,0.72413561,0.32275884,1.056365907,37.87003817,0.08932635,0.03446208,0.007291087
39,0.498313508,0.003045109,0.001308043,44.63744877,0.431744469,0.992264192,0.708203923,0.54238946,64.47278719,0.535454283,0.662607226,0.561780011,0.865878045,52.29650988,0.08066032,0.023715217,0.006715382
40,0.612573669,0.003499506,0.001499884,37.60682377,0.373735231,1.03167338,0.735409012,0.508581509,61.16842678,0.489623907,0.71357798,0.401778075,0.777879121,66.38924223,0.071390989,0.08779168,0.006257646
41,0.430790501,0.002831915,0.00143511,49.28033016,0.328380068,1.165055069,0.795319784,0.474425917,56.54587936,0.449129399,0.609698386,0.465876127,0.91616258,60.26680611,0.056142842,0.027737129,0.007427258
42,0.462247023,0.002599009,0.001251402,50.32276855,0.434530761,1.066241046,0.612690227,0.570089549,50.79010241,0.652500311,0.666878598,0.595724668,0.802800761,74.53077446,0.067461378,0.022289739,0.006873456
43,0.761219889,0.003709556,0.001169476,40.52293878,0.298934932,0.80462164,0.831940471,0.596317519,74.15063965,0.34495515,0.607310541,0.709392258,1.214319712,45.87141955,0.08993287,0.038694728,0.005586926
44,0.500002952,0.003047963,0.001338437,43.46244528,0.343297076,1.197285023,0.875866915,0.518848578,55.81172969,0.593210304,0.74053534,0.52974322,0.943643115,63.76994112,0.074064303,0.047412607,0.006271554
45,0.518425824,0.003447303,0.001415697,47.31033165,0.308708341,1.138667975,0.546426966,0.628423913,59.72195132,0.433449278,0.561015814,0.789404526,0.714917421,67.74694313,0.079254348,0.014218946,0.007083933
46,0.958924145,0.001742789,0.001044293,45.37574787,0.266447249,0.922168247,0.665490673,0.546846352,54.78895367,0.499404888,0.470648977,0.627918745,0.638607346,40.627725,0.083571145,0.017177051,0.00576515
47,0.962114631,0.001559972,0.000924409,31.72018208,0.415178635,0.865345705,0.890712727,0.501779826,49.47375739,0.378521744,0.713031194,0.542838963,0.548935218,84.04206165,0.048894564,0.010140478,0.00532672
48,0.540356562,0.003267815,0.001459968,42.68223001,0.386441525,0.975568749,0.765447315,0.64719953,70.99961072,0.561702469,0.251283624,0.5729856,0.866054519,69.72728307,0.069409023,0.0550652,0.004828288
49,0.93424627,0.002454346,0.00122422,37.8949997,0.232004745,1.028473648,0.746408267,0.583443205,25.26014247,0.703765537,0.523255528,0.479751335,1.24991813,56.70523449,0.08609601,0.068889634,0.006859765
50,1.017800131,0.001307994,0.001397122,48.48384387,0.35405811,0.762016621,0.856692854,0.532366313,45.80772149,0.329911694,0.65593796,0.413299442,1.131090812,50.65393846,0.062819954,0.035369162,0.007510103
51,0.973247952,0.001922097,0.001293962,41.17948981,0.493834702,0.507181546,0.720393931,0.482647945,66.98281021,0.664391468,0.617691513,0.330151374,0.587260469,80.01576209,0.052367084,0.042474028,0.007973455
52,0.773791405,0.002311371,0.000865039,24.86483428,0.451757557,1.169767516,0.801614163,0.567621336,78.67011181,0.752333801,0.432067939,0.370751344,0.669621485,61.46841518,0.058799629,0.06124132,0.004133213
53,0.366091311,0.002038562,0.001497913,44.01849293,0.514635629,1.127069701,0.620010805,0.628913544,50.72789228,0.467279847,0.589632043,0.72149449,1.035365831,65.60499155,0.03179349,0.027881453,0.006085915
54,0.972615419,0.002052904,0.00119586,30.70985663,0.589670178,0.660712433,0.598731312,0.603689866,49.07871996,0.47030266,0.589590909,0.804420463,1.396790877,73.14965045,0.027670004,0.049764858,0.00606843
55,0.634965557,0.001793654,0.001132944,33.94318674,0.566371845,1.139384505,0.640737196,0.632956223,43.34628693,0.36860511,0.484368799,0.860120079,1.146008345,54.90981387,0.012936998,0.028836134,0.005544645
56,0.862992182,0.001476853,0.001339282,36.40561748,0.511474617,1.014395097,0.496963164,0.665054922,30.03862198,0.434747175,0.559401433,0.898794522,1.298322433,76.16398099,0.022827032,0.038164856,0.002003928
57,0.729240342,0.002194894,0.001056644,50.47438386,0.612548714,0.716323439,0.547553091,0.702107882,35.33165206,0.529273658,0.377254632,0.725265004,1.029445509,76.54710308,0.018012203,0.032428681,0.005129959
58,1.017616793,0.00196609,0.000740223,27.53117504,0.639272271,0.573497095,0.555274027,0.724425842,37.79139638,0.468707892,0.321083412,0.767068718,1.110708296,58.15393178,0.040768231,0.044540257,0.004898834
59,0.494469465,0.002649819,0.00126962,38.98388348,0.59863819,1.111538831,0.675537298,0.62307443,41.13691072,0.564509245,0.457912165,0.678994261,1.166865214,64.75499228,0.032108644,0.02527145,0.006594414
