0,rmse,SLATB001,SPAN,EFFTB003,TMNFTB003,CVO,FLTB003,TDWI,CVL,TEFFMX,EFFTB001,KDIFTB003
1743,0.018166999,0.002025721,42.59970281,0.607970374,1.166920809,0.812200373,0.483081498,45.50585978,0.711446938,42.44128846,0.497276415,0.563825206
1351,0.019601738,0.00214414,39.80431438,0.568687248,1.199912635,0.849299243,0.529001428,39.85780982,0.553007615,44.08715051,0.459450307,0.535149193
1341,0.020015247,0.002067106,39.54360875,0.593196928,1.160207286,0.859210076,0.520810788,44.78046391,0.594170802,44.66754837,0.493118209,0.519373441
1499,0.020841067,0.001860041,41.7845677,0.660540027,1.158975344,0.831226858,0.56278614,48.1917547,0.66614535,43.31017786,0.384738808,0.569791738
701,0.021114343,0.002158873,45.6471024,0.638323292,1.092741758,0.828477577,0.492789208,41.39534365,0.71207239,40.58210172,0.506200461,0.580349817
1755,0.021354794,0.001975891,44.40808564,0.607968804,1.189154643,0.795733463,0.46954144,46.83536798,0.711516915,42.02067298,0.481033388,0.562448034
1308,0.021466925,0.002029161,39.4995687,0.574392023,1.186307475,0.844272201,0.531955593,44.89293157,0.620522398,43.94565038,0.489348296,0.508092024
1741,0.021667926,0.002021009,43.8833417,0.603358862,1.164575908,0.811847456,0.483946713,45.59480646,0.723028248,42.45505239,0.498925011,0.573598788
1050,0.021918485,0.001837939,46.00101243,0.569270648,1.140894737,0.821997575,0.544421732,49.66810385,0.802681998,44.14334592,0.520509313,0.514449402
1744,0.021954102,0.002027835,43.70416466,0.601879276,1.189247811,0.785619146,0.471846233,46.12358482,0.724301144,42.12567366,0.493455476,0.563540239
1182,0.022024005,0.001964163,40.72558775,0.623203577,1.088510478,0.84823914,0.525349934,41.76500572,0.918363423,44.17067872,0.552778082,0.522931772
2295,0.022105637,0.001811014,45.83419788,0.639083494,1.151640876,0.801754225,0.574205102,52.22284021,0.649092348,40.33599443,0.425937962,0.512321101
2309,0.02256927,0.001784354,45.64562332,0.650376309,1.163405841,0.779521328,0.580881093,50.04962859,0.665500988,40.13034535,0.417247793,0.501045593
856,0.022755353,0.001861894,42.65851462,0.64776848,1.199569236,0.793312273,0.490473531,48.82665692,0.668075723,44.17880271,0.431209407,0.516642752
1786,0.022818617,0.001959368,43.36017724,0.606212241,1.19897825,0.793601035,0.467267463,44.19164047,0.720252959,41.44014163,0.48608509,0.533010759
1740,0.023546124,0.002126685,44.90602041,0.584501784,1.161304152,0.813854541,0.488012384,41.65608265,0.680703778,42.95641441,0.503928286,0.568295076
1756,0.024107909,0.002110098,44.23178238,0.592498615,1.176984893,0.799951896,0.469528546,45.63556497,0.747417235,41.93576122,0.502646678,0.594353574
1938,0.024277588,0.0018997,42.72560731,0.659998138,1.199284355,0.77368948,0.489843965,49.9541427,0.668815292,43.34491916,0.429816178,0.517332646
1035,0.024469457,0.001992939,41.88455329,0.620013413,1.134897005,0.814622394,0.51340173,40.32310443,0.739538994,43.48814978,0.511271895,0.430158792
2447,0.024966488,0.002086382,48.56415895,0.561858565,1.166309369,0.859482989,0.567311852,50.63286667,0.525499536,39.71733029,0.404503363,0.51949555
2188,0.025004846,0.002217525,41.90800173,0.65327275,1.122614731,0.795439384,0.468902965,46.51730633,0.57689494,43.58553783,0.546637912,0.600844506
1926,0.025009371,0.002017617,45.81611553,0.633358549,1.147152121,0.816756543,0.476018342,43.99673434,0.699681804,42.35850626,0.451913903,0.511941191
2333,0.02503791,0.001872333,46.81905997,0.62503602,1.172876879,0.815322118,0.570953823,50.40308361,0.647247084,39.14626445,0.371376483,0.545506866
1750,0.025752963,0.002059793,43.22294308,0.599446556,1.199155973,0.786695099,0.474583015,47.49002512,0.721458081,41.89303034,0.476079301,0.562257078
2306,0.025844081,0.001826926,45.99318218,0.649953128,1.151525373,0.790349078,0.576997715,54.68144724,0.675702971,39.42650928,0.408814927,0.516963698
2022,0.025915919,0.002052359,46.16595941,0.58457332,1.177366761,0.80506956,0.48684743,43.19630714,0.649848752,43.91223993,0.490123669,0.559629757
1650,0.026092469,0.002186696,45.60195554,0.591956012,1.109357686,0.843655739,0.493323478,40.88902923,0.70323658,44.68643115,0.543494968,0.659741164
1658,0.026103584,0.002312744,47.21628667,0.567026508,1.113633621,0.845537969,0.491160209,40.48159374,0.665766446,44.65974232,0.538148996,0.660847035
1647,0.02630159,0.002043615,44.88199693,0.608308006,1.14407921,0.837144442,0.490491948,42.05957065,0.706770072,44.33825146,0.49395379,0.64113216
1667,0.026426118,0.002408645,46.71807055,0.547355412,1.097234014,0.859206616,0.484684219,34.99109787,0.645851539,44.29632,0.580365665,0.624012884
2354,0.02646488,0.001784043,45.41336408,0.647621511,1.199936507,0.788013488,0.567978496,51.51832058,0.649721827,40.47166429,0.357250068,0.484078736
1208,0.026579751,0.001847252,43.51036717,0.620237479,1.150631135,0.826369149,0.516809113,49.32767837,0.739454946,44.61475223,0.47849982,0.485410653
881,0.0266256,0.001936014,40.80879409,0.634733737,1.186730084,0.801169061,0.472435124,58.2905909,0.690578612,44.03872282,0.486661798,0.623544014
1963,0.026651676,0.00195382,45.39173433,0.613551979,1.164682156,0.827689191,0.487268508,44.46935195,0.718104852,41.78412072,0.454575955,0.576296138
1305,0.026686593,0.001987428,40.23342559,0.580178415,1.153534656,0.842845741,0.542104165,44.81977622,0.664789074,44.10014022,0.505839306,0.500200858
1625,0.026829335,0.001894909,42.53649103,0.602664834,1.169635383,0.814429923,0.495896309,61.34725498,0.643496698,44.81109161,0.52757791,0.633637167
1996,0.027845159,0.00195925,42.53887496,0.650814089,1.185337114,0.827746219,0.528973368,42.27924559,0.71479072,43.21428334,0.358438297,0.578627822
1616,0.0281646,0.001917728,42.94000667,0.6595934,1.144899433,0.788983998,0.532384996,55.28565802,0.657716228,44.66155086,0.479778635,0.626774013
2321,0.028366748,0.001791446,47.67039038,0.625965658,1.165720666,0.79005907,0.594813345,50.93312835,0.668624021,39.59297085,0.392530887,0.491690209
1612,0.028451165,0.002053532,41.49992028,0.630744834,1.161039985,0.811572889,0.508016955,49.64713724,0.662391914,44.42078618,0.46427997,0.598851867
1362,0.02850102,0.00225188,39.1078066,0.572045679,1.198383796,0.879803806,0.531019662,39.659463,0.494111978,44.58366889,0.442635032,0.574393315
2123,0.028632311,0.00195273,39.53140848,0.62705887,1.149518841,0.81700559,0.544710866,48.61132402,0.62199065,42.82847112,0.488654338,0.477516277
1943,0.02869877,0.001886834,41.51903493,0.666498889,1.199776793,0.791541415,0.478882948,46.92800201,0.635714359,42.89023122,0.431790602,0.527201353
1409,0.029074641,0.002202781,35.97466649,0.621691578,1.177087746,0.865447653,0.532200786,40.27445707,0.501784372,43.71807835,0.50523493,0.557561506
1524,0.029221204,0.002030303,45.41932838,0.625763988,1.168232073,0.825434707,0.566280228,45.29648649,0.603300133,43.84652265,0.362603172,0.516646102
1604,0.02927966,0.001883137,40.63642016,0.631341569,1.188189644,0.784613496,0.52838246,56.37144391,0.687311855,44.20516425,0.481957921,0.612695576
1942,0.029410384,0.001965548,44.07970166,0.655345247,1.199631846,0.770533718,0.482798999,49.74807576,0.683715195,43.03040454,0.413186931,0.498874313
2324,0.029514837,0.00173327,45.39057984,0.639732864,1.175188782,0.803633614,0.583437666,55.32162159,0.671572292,40.33341813,0.378481403,0.536668542
2396,0.029575271,0.001899642,43.52143201,0.644000694,1.11925242,0.833012392,0.561356693,48.87511663,0.688774343,40.97304315,0.463974184,0.565125187
2410,0.02962769,0.001751765,48.97399527,0.642659457,1.199562571,0.773158966,0.567735368,43.90520526,0.713281492,38.86748112,0.363090465,0.513121838
1839,0.029699102,0.002100532,39.77041584,0.621825254,1.187213756,0.813347693,0.480903457,44.97343124,0.687190133,42.61996312,0.460887415,0.563596297
1007,0.029807655,0.00178777,47.71525837,0.580181432,1.163205148,0.796402961,0.533766177,49.46876957,0.760086298,44.33771248,0.510925554,0.492179874
1758,0.030079254,0.001971822,44.49252103,0.585586854,1.197611375,0.804820094,0.468193283,46.69398458,0.731234542,42.41265188,0.502999015,0.574908046
2328,0.03036629,0.001829263,46.68325695,0.674916235,1.118815262,0.810692065,0.574839566,51.67371309,0.666763614,40.36474949,0.392542631,0.530816325
2171,0.030638452,0.002373151,40.51005591,0.536719068,1.176734432,0.816995329,0.472764118,40.67316185,0.60448149,40.56403981,0.556867133,0.51636508
800,0.030819481,0.001923956,43.7828068,0.652315245,1.051386445,0.865612074,0.494904552,46.97578845,0.826431293,42.17701984,0.578715769,0.410139338
1979,0.030980383,0.001839203,40.46143744,0.666974243,1.176628253,0.776848995,0.485878182,49.21030487,0.734829088,43.43047743,0.49149909,0.569537865
1907,0.031096816,0.002181187,46.98650507,0.559336169,1.188225878,0.810141344,0.477980981,43.33417101,0.56143038,43.10086943,0.502535685,0.598057353
