Fast first order indexes
                    	              LAIMAX	                TAGP	                TWSO	
              SLATB1	              0.3155	              0.1250	              0.0803	
              SLATB2	              0.0272	              0.0063	              0.0071	
              SLATB3	           3.06e-005	           1.34e-005	           3.08e-005	
             KDIFTB0	              0.1073	              0.0804	              0.0637	
             KDIFTB2	           1.33e-005	           5.05e-005	           2.12e-005	
              EFFTB1	              0.0026	              0.0053	              0.0091	
             EFFTBB2	              0.0360	              0.0548	              0.0564	
           AMAXTB125	              0.0012	              0.0048	              0.0057	
           AMAXTB150	           9.06e-006	            0.000212	            0.000481	
           AMAXTB175	           9.45e-006	            0.000151	              0.0020	
           AMAXTB000	              0.0074	              0.0061	              0.0026	
           AMAXTB200	           1.74e-005	             0.00013	            0.000308	
             TMPFTB0	           3.45e-005	           1.92e-005	           1.33e-005	
            TMPFTB30	              0.0048	              0.0192	              0.0401	
             TMNFTB8	              0.5787	              0.6160	              0.5282	
             RFSETB0	            0.000762	             0.00096	            0.000292	
             RFSETB2	            2.1e-005	           7.38e-005	            0.000187	
                 CVL	              0.0976	              0.0676	              0.0472	
                 CVO	            0.000218	              0.0339	              0.0863	
                 CVR	              0.0232	              0.0047	              0.0017	
                 CVS	              0.0159	              0.0270	              0.0120	
                 Q10	            0.000393	              0.0014	              0.0019	
                 RML	              0.0012	              0.0051	              0.0062	
                 RMO	           1.45e-005	            0.000257	              0.0020	
                 RMR	            0.000145	            0.000728	              0.0015	
                 RMS	           4.56e-005	              0.0026	              0.0104	
               PERDL	           9.59e-006	           1.03e-005	           1.38e-005	
                 RDI	           2.69e-005	           1.17e-005	           6.13e-006	
                 RRI	           5.77e-005	            0.000253	            0.000168	
              TBASEM	            0.000327	            0.000139	           6.36e-005	
              TEFFMX	            0.000939	              0.0002	           4.46e-005	
               TSUM1	              0.2762	              0.2153	              0.1333	
               TSUM2	              0.0011	              0.0464	              0.0684	
                TDWI	              0.0070	              0.0039	              0.0012	
              RGRLAI	            0.000149	           9.42e-005	            0.000122	
                SPAN	              0.0017	              0.0377	              0.0872	

Fast total order Indexes
                    	              LAIMAX	                TAGP	                TWSO	
              SLATB1	            0.489257	            0.233464	            0.192501	
              SLATB2	            0.061687	            0.021017	            0.023131	
              SLATB3	            0.008394	            0.009227	            0.010404	
             KDIFTB0	            0.151367	            0.113765	            0.096022	
             KDIFTB2	            0.014869	            0.013315	            0.017641	
              EFFTB1	            0.012629	            0.016574	            0.023223	
             EFFTBB2	            0.086125	            0.111080	            0.110717	
           AMAXTB125	            0.011243	            0.016826	            0.019904	
           AMAXTB150	            0.009181	            0.008492	            0.008776	
           AMAXTB175	            0.007827	            0.009621	            0.017888	
           AMAXTB000	            0.024934	            0.018739	            0.017928	
           AMAXTB200	            0.012557	            0.009646	            0.010140	
             TMPFTB0	            0.010062	            0.008999	            0.009163	
            TMPFTB30	            0.016754	            0.041459	            0.095287	
             TMNFTB8	            0.704966	            0.751271	            0.692965	
             RFSETB0	            0.009773	            0.009765	            0.009545	
             RFSETB2	            0.010693	            0.011163	            0.012125	
                 CVL	            0.170290	            0.111070	            0.088275	
                 CVO	            0.008850	            0.065236	            0.155260	
                 CVR	            0.060403	            0.017195	            0.012171	
                 CVS	            0.041683	            0.047929	            0.039048	
                 Q10	            0.011930	            0.012556	            0.014522	
                 RML	            0.011197	            0.016196	            0.018812	
                 RMO	            0.008465	            0.009135	            0.016120	
                 RMR	            0.008596	            0.009666	            0.014178	
                 RMS	            0.009708	            0.013559	            0.030828	
               PERDL	            0.011574	            0.009257	            0.008929	
                 RDI	            0.007852	            0.007904	            0.007998	
                 RRI	            0.017841	            0.027391	            0.015110	
              TBASEM	            0.011903	            0.009300	            0.010716	
              TEFFMX	            0.011360	            0.009010	            0.008327	
               TSUM1	            0.464021	            0.331374	            0.218805	
               TSUM2	            0.013171	            0.099377	            0.147897	
                TDWI	            0.020620	            0.013567	            0.010690	
              RGRLAI	            0.010728	            0.012485	            0.016295	
                SPAN	            0.016375	            0.103382	            0.231126	
