Fast first order indexes
                    	              LAIMAX	                TAGP	                TWSO	
              SLATB1	              0.3145	              0.1199	              0.0749	
              SLATB2	              0.0269	              0.0056	              0.0056	
              SLATB3	           2.33e-005	           9.34e-006	           3.74e-005	
             KDIFTB0	              0.1068	              0.0703	              0.0487	
             KDIFTB2	           1.55e-005	           4.21e-005	           2.14e-005	
              EFFTB1	              0.0025	              0.0051	              0.0088	
             EFFTBB2	              0.0389	              0.0564	              0.0564	
           AMAXTB125	              0.0012	              0.0045	              0.0055	
           AMAXTB150	           1.07e-005	            0.000201	            0.000458	
           AMAXTB175	           1.33e-005	            0.000193	              0.0021	
           AMAXTB000	              0.0073	              0.0053	              0.0013	
           AMAXTB200	           1.75e-005	            0.000125	            0.000289	
             TMPFTB0	           3.39e-005	           2.22e-005	           1.65e-005	
            TMPFTB30	              0.0049	              0.0196	              0.0417	
             TMNFTB8	              0.5787	              0.6184	              0.5282	
             RFSETB0	             0.00076	            0.000927	            0.000272	
             RFSETB2	           1.62e-005	           7.81e-005	            0.000199	
                 CVL	              0.0976	              0.0670	              0.0465	
                 CVO	            0.000213	              0.0328	              0.0862	
                 CVR	              0.0230	              0.0033	            0.000578	
                 CVS	              0.0158	              0.0258	              0.0115	
                 Q10	            0.000393	              0.0014	              0.0019	
                 RML	              0.0012	              0.0061	              0.0089	
                 RMO	            5.1e-006	            0.000288	              0.0020	
                 RMR	             0.00014	            0.000714	              0.0014	
                 RMS	           6.62e-005	              0.0028	              0.0100	
               PERDL	           9.59e-006	           1.13e-005	           1.45e-005	
                 RDI	           4.13e-005	            0.000246	            0.000461	
                 RRI	           5.19e-005	            0.000239	            0.000164	
              TBASEM	            0.000327	            0.000124	           5.84e-005	
              TEFFMX	            0.000877	            0.000132	            6.9e-006	
               TSUM1	              0.2727	              0.2168	              0.1360	
               TSUM2	              0.0011	              0.0457	              0.0674	
                TDWI	              0.0069	              0.0030	            0.000483	
              RGRLAI	            0.000149	           9.38e-005	            0.000121	
                SPAN	              0.0016	              0.0380	              0.0917	

Fast total order Indexes
                    	              LAIMAX	                TAGP	                TWSO	
              SLATB1	            0.486918	            0.228876	            0.188928	
              SLATB2	            0.060736	            0.020769	            0.021708	
              SLATB3	            0.008572	            0.009753	            0.010979	
             KDIFTB0	            0.150650	            0.102830	            0.080241	
             KDIFTB2	            0.014645	            0.013505	            0.017934	
              EFFTB1	            0.012310	            0.016061	            0.022052	
             EFFTBB2	            0.092488	            0.111938	            0.111779	
           AMAXTB125	            0.011103	            0.015844	            0.018991	
           AMAXTB150	            0.009058	            0.008447	            0.008699	
           AMAXTB175	            0.007880	            0.010657	            0.023086	
           AMAXTB000	            0.024829	            0.017650	            0.016142	
           AMAXTB200	            0.012519	            0.009607	            0.010044	
             TMPFTB0	            0.010053	            0.009194	            0.009456	
            TMPFTB30	            0.016754	            0.042941	            0.102074	
             TMNFTB8	            0.704966	            0.753945	            0.694413	
             RFSETB0	            0.009757	            0.009703	            0.009533	
             RFSETB2	            0.012414	            0.011848	            0.012394	
                 CVL	            0.170290	            0.109937	            0.086239	
                 CVO	            0.008839	            0.063303	            0.155013	
                 CVR	            0.058470	            0.015860	            0.014939	
                 CVS	            0.040938	            0.045983	            0.039157	
                 Q10	            0.011930	            0.012373	            0.014304	
                 RML	            0.011182	            0.018776	            0.028269	
                 RMO	            0.008346	            0.009344	            0.016286	
                 RMR	            0.008583	            0.009633	            0.014316	
                 RMS	            0.009480	            0.014544	            0.029380	
               PERDL	            0.011574	            0.009209	            0.008862	
                 RDI	            0.008414	            0.009416	            0.010510	
                 RRI	            0.017799	            0.027298	            0.015051	
              TBASEM	            0.011906	            0.009261	            0.010684	
              TEFFMX	            0.011199	            0.009590	            0.009160	
               TSUM1	            0.458775	            0.332167	            0.221953	
               TSUM2	            0.013171	            0.098482	            0.147087	
                TDWI	            0.020241	            0.012252	            0.009486	
              RGRLAI	            0.010728	            0.012488	            0.016308	
                SPAN	            0.016123	            0.109233	            0.254690	
