,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
10,"[3.4406369048334877, 0.0007388147140888859, 28.267036531482503, 0.4613123197302952, 0.8539399137294477, 0.8248026608758633, 0.7394537118343607, 55.29168250079647, 0.8370346044366315, 27.370728753810834]"
11,"[2.6208293095537116, 0.0030268925619702756, 36.44509025586876, 0.6640534710470571, 0.4509359827464047, 0.4444187598982867, 0.5435254805024233, 58.28045413506298, 0.8805939843989306, 20.007847599055463]"
12,"[2.7260571201923973, 0.0039254740664551105, 39.18674034049699, 0.4489162495039699, 1.4846934174973057, 0.6604574279817398, 0.48028076149195104, 40.18660088876748, 0.36182568703891727, 33.54339383397211]"
13,"[4.144996189554447, 0.0033179679936707297, 16.065654741281634, 0.46360362793240123, 1.2510218371514434, 0.5386399454785142, 0.7297958357505863, 28.32694496479899, 0.8525845676900594, 41.96828844616581]"
14,"[3.3051254332026216, 0.0011431483034982466, 36.880314417607735, 0.4515755527133452, 0.8300154188262734, 0.748097351725998, 0.537615759384536, 59.16317105074165, 0.9970849066062257, 42.68901097927618]"
15,"[1.666010446532291, 0.0017393288494541147, 29.276891347556173, 0.5643179818051874, 1.1818030710166867, 0.41681983956724267, 0.5786185063919094, 66.21499546305785, 0.6321926354035634, 21.56960910155621]"
16,"[1.5230476234619152, 0.0016051997963649428, 25.918918837773944, 0.44799837987376956, 1.4715527180880672, 1.0036510699309091, 0.6666415772425408, 56.54177096551031, 0.8979334236804639, 15.25181824038244]"
17,"[1.6209049789917096, 0.003075727995462001, 39.266076200674206, 0.3792618552099355, 1.086183496976365, 0.9961382864754431, 0.732556813217071, 57.71195990357763, 0.6731724235962653, 18.08364533094765]"
18,"[3.422365711719913, 0.0027614168485854667, 45.21842461948761, 0.2394573364745011, 0.5336337429181763, 0.49703816110274396, 0.49463545087949107, 28.587417865831192, 0.47394296384036694, 29.602721637053243]"
19,"[2.511402112873872, 0.003017684937482292, 47.17603328565412, 0.5199694824676516, 1.3396694836842835, 0.49613597660043884, 0.5947916716179666, 57.69094645487431, 0.5866441147504546, 19.641028234160604]"
20,"[3.1543452902581524, 0.002527356520212451, 37.21002061111158, 0.1956746803126458, 0.8865118971986382, 0.6506250780554914, 0.5063980423039697, 48.870529007846756, 0.5191017362863818, 26.919914130606816]"
21,"[2.8053755637921536, 0.00291174146074016, 11.963630545367419, 0.33882513563700895, 1.2121081544678738, 0.4717465925118002, 0.6483707182303944, 41.53535778021842, 0.5164936026904247, 23.558649160545244]"
22,"[3.0172518685970604, 0.0020099277795592963, 32.5805588056709, 0.3524950175444155, 0.7229668850432958, 0.9176874835140943, 0.6240692488823367, 74.63138168187832, 0.6759029397373592, 30.98913215388569]"
23,"[3.517791068505871, 0.0018556435275336174, 16.696692074206183, 0.14622668507496928, 0.7407579827102018, 0.6083173376187848, 0.47371692440639224, 47.10644447338066, 0.9670865367085986, 37.25236560903651]"
24,"[3.433586486315743, 0.0006419706479804276, 10.92378239290544, 0.6762783997348509, 0.5882466992515512, 0.4568036209390536, 0.5969760782573672, 71.22690691502119, 0.7742478847524727, 16.241228375313746]"
25,"[2.118558278123644, 0.002876886594846538, 26.470537422138463, 0.30109463173842405, 1.040740157479079, 0.9069003596003948, 0.5140069100264772, 70.64571483465039, 0.8733922832685086, 39.28046122972199]"
26,"[3.5094475741982487, 0.0012787618097315537, 15.982571780057235, 0.4327697402814384, 0.6244656109443926, 0.8783116806715106, 0.7545707517355006, 56.8724325194415, 0.5415301736178411, 42.47004287218358]"
27,"[3.076298273881682, 0.0022856377220717657, 29.785281782849417, 0.6129056793592504, 0.6781031140037314, 0.7228628537632, 0.640812576751636, 36.39521037998087, 0.3923016238196493, 21.54489234985984]"
28,"[3.7147267879506334, 0.003981958602526628, 37.10326347159446, 0.5745031325002463, 1.1836182476851491, 0.7425386559136501, 0.48511217870818135, 57.5370570571786, 0.6392796118820142, 34.554899775809595]"
29,"[3.081698316996525, 0.0029889471208829764, 45.98815956100989, 0.14430888753059434, 0.9521820448783923, 0.389326387971106, 0.4747985091153871, 45.12528664993066, 0.4621324443133898, 29.631613730164982]"
30,"[3.1731519651436875, 0.0036027470962432693, 22.228728969931588, 0.37869779699659106, 1.49003126064182, 0.9996997704826132, 0.6693524128372542, 64.26295733238396, 0.8042953068953931, 16.920747656527688]"
31,"[2.509576366522905, 0.001489808336920153, 23.520930170625185, 0.29618290064460634, 1.394055533392498, 0.9888340238693014, 0.7011013462118738, 52.69707246385586, 0.7281519847555121, 15.198875649192205]"
